created 2021-03-01T12:57:31.847958
,year,sim_mon_day,PGR
0,2024,7,1.2760666792464317
1,2024,8,13.054422039677556
2,2024,9,26.12019901577174
3,2024,10,44.30095189767241
4,2024,11,69.73413312844467
5,2024,12,78.59921249287046
6,2025,1,82.63156267067778
7,2025,2,75.90689109364764
8,2025,3,62.17246005873593
9,2025,4,44.517762787626495
10,2025,5,14.493497759677018
11,2025,6,5.5731503528730215
12,2025,7,4.658303051498001
13,2025,8,25.626489787279088
14,2025,9,43.735838676522214
15,2025,10,63.46282687848811
16,2025,11,83.00958616838167
17,2025,12,91.98085036878756
18,2026,1,91.10862351360367
19,2026,2,81.76462686273099
20,2026,3,64.21369548563304
21,2026,4,46.0373162538825
22,2026,5,25.33625565054228
23,2026,6,8.242535529429992
24,2026,7,6.953670540274459
25,2026,8,26.138975755812908
26,2026,9,45.32840552404049
27,2026,10,64.98286315485883
28,2026,11,84.21580313393281
29,2026,12,93.73373260988937
30,2027,1,93.0150079091662
31,2027,2,83.10433123971146
32,2027,3,65.80825042243444
33,2027,4,46.85153905973507
34,2027,5,26.18862195484684
35,2027,6,9.044409901997403
