created 2021-03-11T10:39:29.266225
,year,sim_mon_day,PGR
0,2024,7,2.406012950235048
1,2024,8,22.45724351597528
2,2024,9,23.206712047552433
3,2024,10,41.65883970781496
4,2024,11,67.17057549963067
5,2024,12,53.74748576369069
6,2025,1,31.76671007913713
7,2025,2,26.49935914499615
8,2025,3,32.66535783013536
9,2025,4,35.37154503860686
10,2025,5,27.710822415977525
11,2025,6,11.346660968813925
12,2025,7,9.684978330911955
13,2025,8,22.44845441503811
14,2025,9,23.42364339258024
15,2025,10,42.086185245737965
16,2025,11,66.9670890519673
17,2025,12,53.57877837994011
18,2026,1,32.19886743856672
19,2026,2,27.274960905980443
20,2026,3,33.569619746234906
21,2026,4,35.31408644967685
22,2026,5,26.937411001803085
23,2026,6,10.925866006754793
24,2026,7,9.226912601438636
25,2026,8,22.180081559256863
26,2026,9,23.629738078511703
27,2026,10,42.71150022630368
28,2026,11,67.41119743417582
29,2026,12,54.50469697528084
30,2027,1,33.03372509879024
31,2027,2,28.160685288831946
32,2027,3,33.99242834243467
33,2027,4,35.26837686761592
34,2027,5,26.33580763305677
35,2027,6,10.522041999350234
