0=normal temp: -1=cold; ; 1=hot; Precip: -1=wet; 1=dry; rest: 1=anomalous restrictions. prev_{} = previous months data  
month,year,temp,precip,rest,rest_cum,rain,tmax,tmin,radn,pet,doy,sma,tmean,month_mapper,prev_temp,prev_precip,prev_rest_cum
1,1972,-1.0,-1.0,0.0,14.604006917414052,2.1920592352065222,22.246226335098168,10.303460566020473,23.01293099361594,4.441053818598534,16.0,10.34661606502072,16.27484345055932,1,,,
2,1972,-1.0,0.0,0.0,28.070079899100588,0.5867591234885264,21.811668934861817,10.001225596233548,20.92613538734701,3.6373225561218723,46.0,-14.20589986961117,15.906447265547683,2,-1.0,-1.0,14.604006917414052
3,1972,1.0,1.0,0.0,12.055200538005138,0.7208772265055784,22.51248394684349,11.172398953135563,15.067473635710947,3.450166730421502,76.0,-17.919171470805427,16.84244144998953,3,-1.0,0.0,28.070079899100588
4,1972,1.0,0.0,0.0,11.52566578685456,1.9368792104793389,18.74097949206774,8.001473554121976,9.755600051203634,2.093533663658112,106.5,13.188078930290535,13.371226523094853,4,1.0,1.0,12.055200538005138
5,1972,0.0,0.0,0.0,4.129650781488084,5.350695548000314,14.5432323483849,3.376788126966583,7.170399135251798,1.2237834993376164,137.0,3.2296004625037007,8.960010237675743,5,1.0,0.0,11.52566578685456
6,1972,-1.0,0.0,0.0,11.657571045599408,1.1289749156274331,10.382797669262297,0.36607505810460833,6.178642533310337,0.9129593228693179,167.5,1.5725148864232785,5.374436363683453,6,0.0,0.0,4.129650781488084
7,1972,0.0,0.0,0.0,0.6082992698335337,1.7582179265089315,10.79249833182844,1.4509924274275474,6.0409243610463585,0.8906357514775022,198.0,0.26370943284711573,6.121745379627994,7,-1.0,0.0,11.657571045599408
8,1972,-1.0,1.0,0.0,12.954606337120387,0.5660663602729102,11.602830628101522,0.8829613919659778,9.114642818856844,1.2541793908332075,229.0,-8.681219265434454,6.24289601003375,8,0.0,0.0,0.6082992698335337
9,1972,1.0,1.0,0.0,0.3043588844622178,0.7813615899067372,17.572774130073096,5.793579535107834,12.924069340541227,2.8837627018353427,259.5,-17.566095332968203,11.683176832590467,9,-1.0,1.0,12.954606337120387
10,1972,1.0,-1.0,0.0,0.0,3.7964836661435473,18.3332520637483,6.388934098255583,17.03951802501621,3.2554936722059007,290.0,15.36503783797558,12.361093081001943,10,1.0,1.0,0.3043588844622178
11,1972,1.0,1.0,0.0,0.0,1.1347955750533312,21.221046576934587,9.773321004785783,20.41647051127263,4.091849306618559,320.5,-15.385306104144584,15.497183790860186,11,1.0,-1.0,0.0
12,1972,-1.0,0.0,0.0,0.0,1.7377018199989207,19.85077401445303,8.55297801485263,22.157935304972984,4.292289588436327,351.0,-5.2493294172958445,14.201876014652832,12,1.0,1.0,0.0
1,1973,0.0,0.0,0.0,14.611869954242879,1.05707779030971,23.690139167309244,11.330103119683159,23.32842396594926,4.881639780860526,16.0,-5.455544239855407,17.5101211434962,1,-1.0,0.0,0.0
2,1973,1.0,1.0,0.0,28.0,0.20082751403346524,25.33135312494827,12.07894302431276,20.14005465441691,4.328753370859282,45.5,-23.79136773150785,18.705148074630518,2,0.0,0.0,14.611869954242879
3,1973,0.0,0.0,0.0,31.0,0.8427840918526106,21.607825840710326,10.213727559086172,14.072647247552712,2.947524018112757,75.0,-11.306542393247527,15.910776699898246,3,1.0,1.0,28.0
4,1973,0.0,1.0,0.0,18.467470214849996,0.5273144565580878,18.958520823276654,6.619512964807835,10.700767852311852,1.9904347837924505,105.5,-11.805409418750038,12.789016894042245,4,0.0,0.0,31.0
5,1973,0.0,0.0,0.0,0.35352894669479296,1.8981074556166597,14.970507506636832,4.545510851628287,6.403939945108095,1.1327006022982888,136.0,4.048586669868575,9.758009179132559,5,0.0,1.0,18.467470214849996
6,1973,0.0,0.0,0.0,6.941362428165489,1.214827919611163,12.160125789669397,1.8925883781706887,6.086475717798817,0.7585158929115845,166.5,1.1695617792847948,7.026357083920043,6,0.0,0.0,0.35352894669479296
7,1973,-1.0,0.0,0.0,29.229046245828425,1.1312104370104423,9.72108344954872,1.1332261173118043,5.983785123034617,0.6214079125232932,197.0,-0.3531199211499861,5.427154783430263,7,0.0,0.0,6.941362428165489
8,1973,0.0,-1.0,0.0,4.77978338046099,5.834525214477541,11.475095643095896,2.599836137634059,7.473956068315681,1.1630317287177756,228.0,6.247847395407922,7.037465890364978,8,-1.0,0.0,29.229046245828425
9,1973,1.0,0.0,0.0,0.0,1.15781451022476,16.286757341274843,5.117974469804471,13.145859403258454,2.247243074510476,258.5,-1.784652743914029,10.70236590553966,9,0.0,-1.0,4.77978338046099
10,1973,1.0,1.0,0.0,0.744304824012778,0.4814492169609894,19.44443875971588,6.384713587425162,17.038189031998865,3.352744793458412,289.0,-20.639560589641636,12.914576173570522,10,1.0,0.0,0.0
11,1973,1.0,-1.0,0.0,0.0,2.197271560434913,20.765136319002433,9.249086706746958,20.632238166275773,4.309966554772529,319.5,10.616206336582573,15.007111512874694,11,1.0,1.0,0.744304824012778
12,1973,0.0,0.0,0.0,14.014697910393208,1.2823455757646074,21.904109772946246,10.747010195167377,22.341122147531625,4.6101976383074055,350.0,-9.202732402656821,16.325559984056806,12,1.0,-1.0,0.0
1,1974,-1.0,0.0,0.0,18.538193806081463,1.0301840091180503,21.980698295529336,10.120073217662512,21.863547039451884,4.496981847954834,16.0,-1.803401309578556,16.050385756595922,1,0.0,0.0,14.014697910393208
2,1974,1.0,-1.0,0.0,12.49682897356592,3.647347390401413,23.535330828323186,13.180060711483934,17.247491191915202,3.51142894769782,45.5,19.245171046572263,18.357695769903557,2,-1.0,0.0,18.538193806081463
3,1974,-1.0,0.0,0.0,13.000709640975199,1.988224963062966,18.76300513110281,8.779213297808786,14.727753382995486,2.677028457212734,75.0,11.745114270307383,13.771109214455795,3,1.0,-1.0,12.49682897356592
4,1974,0.0,-1.0,0.0,1.8731839051941854,5.520034025102472,16.94111685395833,7.823589396696275,9.398127208788894,1.6051058736754769,105.5,21.33090902883856,12.382353125327304,4,-1.0,0.0,13.000709640975199
5,1974,-1.0,1.0,0.0,0.0,1.882558718939167,13.922671615918361,3.799574224792428,7.285497295844269,0.8731840330170405,136.0,-8.324273248078661,8.861122920355394,5,0.0,-1.0,1.8731839051941854
6,1974,0.0,0.0,0.0,0.0,1.485343190615284,10.92282428220676,1.428032322115316,6.197815944340389,0.9144897845475928,166.5,0.6032319060720345,6.175428302161038,6,-1.0,1.0,0.0
7,1974,0.0,0.0,0.0,0.0,1.4633289606858342,11.289075940589234,2.3461368988654,6.304599859942251,0.9210659377551976,197.0,2.1441725847189477,6.817606419727317,7,0.0,0.0,0.0
8,1974,-1.0,0.0,0.0,0.0,2.8667726080800158,10.775991787395276,1.3942734076595573,8.15295666051116,1.0693840375569346,228.0,4.713912444000889,6.085132597527416,8,0.0,0.0,0.0
9,1974,0.0,0.0,0.0,0.0,5.145944216055038,14.518608352294896,5.3501572618671505,10.960993705849226,1.8574899609712674,258.5,7.897131083220962,9.934382807081022,9,-1.0,0.0,0.0
10,1974,-1.0,-1.0,0.0,0.0,3.36068670280315,16.19176395606801,6.151846097593563,15.362582588069845,2.614413028968181,289.0,19.382001650984044,11.171805026830782,10,0.0,0.0,0.0
11,1974,1.0,1.0,0.0,0.0,0.07660564966499804,20.82158528801022,8.836330238469506,21.257615624461337,3.967358971400256,319.5,-17.35487689659173,14.82895776323986,11,-1.0,-1.0,0.0
12,1974,1.0,1.0,0.0,0.3895499385513755,0.5095260144320669,23.236564445053236,11.751355452724138,25.8915709431739,5.29170272105311,350.0,-19.1518125955781,17.49395994888869,12,1.0,1.0,0.0
1,1975,1.0,-1.0,0.0,5.170199131220018,5.099668254373145,23.610575932905213,13.680136888403847,21.207655214334533,4.549696532521514,16.0,29.765197130058166,18.645356410654525,1,1.0,1.0,0.3895499385513755
2,1975,0.0,0.0,0.0,5.732191695096682,2.874726515073269,22.73390776591493,12.29464726031102,18.69298595235057,3.8845371325061073,45.5,-11.249313338630097,17.514277513112976,2,1.0,-1.0,5.170199131220018
3,1975,1.0,-1.0,0.0,0.0,3.26109940670533,21.571519969118327,11.399020522505673,14.046284357034772,2.7882708194949397,75.0,18.482297625715216,16.485270245812004,3,0.0,0.0,5.732191695096682
4,1975,1.0,0.0,0.0,0.0,2.5732773455088083,19.514027392657912,7.578449147641105,11.437427656507477,2.217018804723818,105.5,0.5146760826994803,13.546238270149505,4,1.0,-1.0,0.0
5,1975,0.0,1.0,0.0,0.0,0.9096735340379138,15.290517747355073,4.272720472709332,7.0816856819126395,1.2913573921931798,136.0,-14.219626761277238,9.781619110032201,5,1.0,0.0,0.0
6,1975,-1.0,0.0,0.0,0.0,3.806747971974816,10.603669163985204,0.3812918426679327,5.34068048820553,0.6602127987232989,166.5,2.968078927994804,5.492480503326568,6,0.0,1.0,0.0
7,1975,0.0,0.0,0.0,0.0,1.3837805431734664,11.364837232566764,0.2019259634755324,5.33331871170595,1.0430183278459948,197.0,1.2125088075057553,5.7833815980211485,7,-1.0,0.0,0.0
8,1975,0.0,-1.0,0.0,0.0,4.14119881861495,12.414143384014457,3.40318617795119,7.210914492180402,1.3788509991093882,228.0,5.576774695937591,7.908664780982824,8,0.0,0.0,0.0
9,1975,0.0,0.0,0.0,0.0,1.4059281231305232,15.69246687962129,3.910879274512437,13.69109864860663,2.3043575141976564,258.5,1.8871238926096514,9.801673077066864,9,0.0,-1.0,0.0
10,1975,0.0,0.0,0.0,0.0,2.734187728562642,17.019180031541136,6.037923993952542,17.756438557379752,3.2117995264752564,289.0,11.264347157643035,11.52855201274684,10,0.0,0.0,0.0
11,1975,-1.0,0.0,0.0,0.0,1.4945933630223815,18.530948200419555,6.793357575592334,21.284788709427197,3.86504739590579,319.5,5.310204265929385,12.662152888005943,11,0.0,0.0,0.0
12,1975,-1.0,0.0,0.0,0.0,1.4979146654958024,21.333901973926686,8.279115982395934,24.376147993042817,4.383456182508593,350.0,-7.920867969298384,14.806508978161308,12,-1.0,0.0,0.0
1,1976,0.0,0.0,0.0,6.44495095970367,2.0329430931824346,21.32836610901646,11.54811812590959,19.963407965397906,4.012836433353267,16.0,8.86410409950253,16.43824211746302,1,-1.0,0.0,0.0
2,1976,-1.0,-1.0,0.0,1.5997794024958083,2.428428088575318,19.693552275024597,8.141216273087045,19.553340163089025,3.6157314385253936,46.0,16.322138328722737,13.917384274055822,2,0.0,0.0,6.44495095970367
3,1976,0.0,1.0,0.0,17.066564062118807,0.591074864074002,21.559183237279864,9.644108159456048,14.025019183312999,3.1715741213220086,76.0,-17.66050707678011,15.601645698367957,3,-1.0,-1.0,1.5997794024958083
4,1976,-1.0,0.0,0.0,26.140204308113045,1.3776399235209835,17.658796090718102,6.276201798902038,10.042277045754533,1.650085824986134,106.5,-0.7723442624334239,11.967498944810071,4,0.0,1.0,17.066564062118807
5,1976,-1.0,0.0,0.0,5.277723724503257,1.0094269654559562,14.7222899137884,3.05948956164691,6.76082679717509,1.2496753861905368,137.0,-5.915908151114587,8.890889737717655,5,-1.0,0.0,26.140204308113045
6,1976,-1.0,1.0,0.0,0.6908792008116519,1.9848562387047286,10.530609727597096,0.7020201471824464,4.889272146553134,0.8807703818557011,167.5,-2.987054102932445,5.616314937389771,6,-1.0,0.0,5.277723724503257
7,1976,0.0,0.0,0.0,2.0760586887106527,1.8765358550982987,11.209478202190219,0.5305919120582856,5.751165582570785,1.0013248943032207,198.0,1.5345347586623235,5.8700350571242526,7,-1.0,1.0,0.6908792008116519
8,1976,0.0,-1.0,0.0,0.0,2.089266921979886,11.326068288244171,2.6848677087940973,7.205488476469459,1.164793227323101,229.0,6.320249590096255,7.0054679985191335,8,0.0,0.0,2.0760586887106527
9,1976,-1.0,-1.0,0.0,0.0,2.847036585589259,12.307643180633866,3.9033936920491006,11.238104577598069,1.6350524098070616,259.5,15.388808051626286,8.105518436341482,9,0.0,-1.0,0.0
10,1976,-1.0,0.0,0.0,0.403135681741436,2.2380795746766675,14.936743917802623,4.561277178559316,16.307712510293268,2.5917643640647072,290.0,10.32764652017941,9.749010548180971,10,-1.0,-1.0,0.0
11,1976,-1.0,0.0,0.0,0.0,1.2611595795895851,16.608857606237766,6.405929949553738,20.15376887548753,3.422992101410072,320.5,-5.657578027999543,11.507393777895752,11,-1.0,0.0,0.403135681741436
12,1976,0.0,0.0,0.0,0.0,3.068109515198676,20.411938235932162,10.640912061000945,20.61960303916339,4.1800261510139425,351.0,-0.9969107249436375,15.526425148466549,12,-1.0,0.0,0.0
1,1977,-1.0,-1.0,0.0,0.0,2.7964500775613326,20.686587286805228,9.727445392434714,21.138439944331505,4.211235211820171,16.0,25.605409873202916,15.20701633961997,1,0.0,0.0,0.0
2,1977,0.0,0.0,0.0,0.171769309526485,2.116561609961577,23.298582003057923,10.009086759594828,21.14105617018607,4.334200297147741,45.5,-5.090589826207597,16.653834381326373,2,-1.0,-1.0,0.0
3,1977,0.0,1.0,0.0,9.81676554593423,0.0,21.55550617448325,8.871841036731189,15.843891139037066,3.112461804341565,75.0,-22.200826144933664,15.213673605607218,3,0.0,0.0,0.171769309526485
4,1977,0.0,0.0,0.0,14.603701192997221,1.1227472139580135,17.918697343439643,6.254126838114557,10.407884366039857,1.9278785667626304,105.5,-9.16742372952414,12.086412090777097,4,0.0,1.0,9.81676554593423
5,1977,-1.0,-1.0,0.0,1.29828438616693,2.048490624855816,12.679089755150576,2.7934125843693924,6.1976867109861935,1.1394252405379433,136.0,7.813523790891074,7.736251169759984,5,0.0,0.0,14.603701192997221
6,1977,0.0,-1.0,0.0,1.53485799841192,3.067124575754403,10.889910955241472,1.5666698094863838,4.510182743976927,0.7491448576687504,166.5,5.123368516951478,6.2282903823639275,6,-1.0,-1.0,1.29828438616693
7,1977,0.0,-1.0,0.0,0.7927843891350563,4.219288061275718,9.628549918409615,2.3118597921610298,4.1869969020360065,0.5986783216132955,197.0,2.807125763528939,5.970204855285322,7,0.0,-1.0,1.53485799841192
8,1977,0.0,0.0,0.0,12.371481483229521,2.27739210601935,11.974328946412161,2.1695819120866013,8.083291030827622,1.242853996023023,228.0,2.1051549808676615,7.071955429249381,8,0.0,-1.0,0.7927843891350563
9,1977,-1.0,-1.0,0.0,3.460653521051671,3.078815988264486,11.985422342122327,2.1659657567753734,11.982066187343234,1.9695189683030008,258.5,18.41643361240774,7.075694049448851,9,0.0,0.0,12.371481483229521
10,1977,0.0,1.0,0.0,0.0,0.8780535951964089,17.720815408636415,5.9335287350537005,20.508163361681113,3.8183370264652314,289.0,-13.29239732465605,11.827172071845057,10,-1.0,-1.0,3.460653521051671
11,1977,0.0,1.0,0.0,0.0,0.7295011938547481,19.663625657662685,6.875610651294056,23.117795797564483,4.670916253023105,319.5,-14.558403559912739,13.269618154478371,11,0.0,1.0,0.0
12,1977,0.0,0.0,0.0,0.5997673474284895,2.0694913404551145,21.789879562707934,9.284570757113546,23.423337280826885,4.838977785484567,350.0,-3.8544163198147063,15.537225159910742,12,0.0,1.0,0.0
1,1978,0.0,0.0,0.0,7.8802863141265025,1.2040731106787477,23.648561768929554,12.539070818902063,23.24542851776401,5.205733582356328,16.0,-6.590265252968159,18.093816293915815,1,0.0,0.0,0.5997673474284895
2,1978,1.0,1.0,0.0,27.32441508657906,0.4538132402947764,24.460022427239345,12.016090950083223,22.48516947509302,4.936590885846944,45.5,-20.15939103485142,18.23805668866129,2,0.0,0.0,7.8802863141265025
3,1978,1.0,1.0,0.0,26.112246578145495,1.0377241148811605,23.198437082479945,10.422604998562601,17.68642194854657,3.939336003435501,75.0,-18.63653306429244,16.810521040521273,3,1.0,1.0,27.32441508657906
4,1978,1.0,-1.0,0.0,9.169431462430873,8.42478618127532,18.920930499978986,11.021567053569338,8.398716569232578,1.86276880902232,105.5,13.840457481669842,14.971248776774166,4,1.0,1.0,26.112246578145495
5,1978,0.0,1.0,0.0,5.128711221357197,0.9421135227556431,14.202987076395216,5.496228453334133,6.069306017641935,1.1793230428823658,136.0,-10.007309489948847,9.849607764864675,5,1.0,-1.0,9.169431462430873
6,1978,-1.0,0.0,0.0,0.589085512927039,2.678189365178457,8.945802313240709,1.5145483331791658,4.731080401255585,0.5241569060042462,166.5,3.921787521689632,5.230175323209937,6,0.0,1.0,5.128711221357197
7,1978,1.0,-1.0,0.0,1.043503960915292,6.290008639728268,10.811112442556757,2.8283989773770486,5.558731778351375,0.7000933727277124,197.0,3.5232977417297326,6.819755709966903,7,-1.0,0.0,0.589085512927039
8,1978,1.0,1.0,0.0,0.0,2.5471845868924756,13.941545407583781,2.851703914551387,9.7164633866036,1.5542428447414383,228.0,-5.065854379356317,8.396624661067584,8,1.0,-1.0,1.043503960915292
9,1978,-1.0,-1.0,0.0,0.0,4.068969767248644,13.3633015256067,4.956563360039483,11.386668036615456,1.8852843423528476,258.5,12.826433091236861,9.15993244282309,9,1.0,1.0,0.0
10,1978,0.0,0.0,0.0,0.0,2.119407947728892,16.744409279634343,5.959700039020515,18.686777521477993,3.323855283408851,289.0,-2.7196491328606682,11.352054659327433,10,-1.0,-1.0,0.0
11,1978,0.0,0.0,0.0,0.0,1.1804959454455535,19.703044742310308,8.298318849795509,22.52601948460414,4.553931120453512,319.5,-5.696129007902624,14.000681796052909,11,0.0,0.0,0.0
12,1978,0.0,-1.0,0.0,0.0,3.2246265594883488,20.46340001817933,10.645105477060712,21.373207362863848,4.1902398946020885,350.0,27.639568213766438,15.554252747620016,12,0.0,0.0,0.0
1,1979,0.0,1.0,0.0,4.017795044956502,0.31047840997005904,24.77125335570719,11.187772749269952,24.856744102688463,5.663745942940691,16.0,-16.90049127541163,17.97951305248858,1,0.0,-1.0,0.0
2,1979,0.0,0.0,0.0,4.6743894638476835,1.953177656364834,23.73507101897822,11.017656812761881,20.687630528080934,4.698570304235806,45.5,-12.950790843951491,17.376363915870055,2,0.0,1.0,4.017795044956502
3,1979,0.0,-1.0,0.0,1.3001458864925466,6.071049882372442,18.9032665905604,11.057214568807684,9.978641118388715,2.152745857547259,75.0,22.114454309607886,14.98024057968405,3,0.0,0.0,4.6743894638476835
4,1979,0.0,1.0,0.0,0.0,0.18579099341877736,17.944158739539304,6.476157548454433,11.104328735693604,1.9372269581306307,105.5,-18.848944887353273,12.210158143996868,4,0.0,-1.0,1.3001458864925466
5,1979,-1.0,-1.0,0.0,0.0,4.009490596921269,13.073867279017193,3.910366273858961,5.932798156843314,0.9965451927359916,136.0,11.864413619032682,8.492116776438078,5,0.0,1.0,0.0
6,1979,0.0,1.0,0.0,0.0,0.29657276754733175,12.663900735539784,1.6345766531193002,5.51697684872135,0.7358649357542137,166.5,-11.030191303575082,7.149238694329542,6,-1.0,-1.0,0.0
7,1979,1.0,0.0,0.0,0.0,2.5046111820563364,11.915365259718326,2.1634112264937833,5.477271311927844,0.846770049041296,197.0,2.3411669681713643,7.039388243106055,7,0.0,1.0,0.0
8,1979,-1.0,-1.0,0.0,0.0,3.463417701816824,10.716596025797449,2.289718553928323,6.802706972024342,1.084725252058991,228.0,5.7059924264422195,6.5031572898628855,8,1.0,0.0,0.0
9,1979,0.0,1.0,0.0,0.0,0.4579795656900387,15.34807748047889,4.39993509769089,10.852563195057847,2.293662453193939,258.5,-12.174283668957338,9.874006289084893,9,-1.0,-1.0,0.0
10,1979,0.0,-1.0,0.0,0.0,4.310015928855685,16.302994203767536,6.397252222140621,16.15037876324319,2.776791580623382,289.0,20.782231401362438,11.35012321295408,10,0.0,1.0,0.0
11,1979,0.0,0.0,0.0,0.0,1.5694980311669806,19.34748497385767,9.104567200515504,20.011847908561226,3.762179869469078,319.5,1.8401368947934127,14.226026087186586,11,0.0,-1.0,0.0
12,1979,0.0,0.0,0.0,0.0,1.7730887863787985,22.060362683211917,10.469299853621576,24.92708203757696,5.504344151612321,350.0,-10.59696177183384,16.26483126841675,12,0.0,0.0,0.0
1,1980,0.0,-1.0,0.0,0.0,3.6588895629390428,22.687399788381114,11.163343967767144,21.768636686379313,4.690683947605839,16.0,33.19284049281101,16.92537187807413,1,0.0,0.0,0.0
2,1980,-1.0,0.0,0.0,0.0,1.598587883425517,21.29815045313313,10.652028053572689,18.811316283158625,4.0796069327399,46.0,-8.836013497627329,15.97508925335291,2,0.0,-1.0,0.0
3,1980,-1.0,-1.0,0.0,0.0,6.024085010040469,18.644830036301446,9.251609657616822,13.403378611632549,2.569862704835216,76.0,36.81596183955515,13.948219846959137,3,-1.0,0.0,0.0
4,1980,0.0,-1.0,0.0,0.0,2.6547455402026627,16.821042483453915,7.594517385802685,8.599989492711675,1.4018053308751683,106.5,16.91879539389603,12.207779934628299,4,-1.0,-1.0,0.0
5,1980,0.0,1.0,0.0,3.4822558618411437,0.44859470616492836,15.473163698142505,3.933336480441008,6.663918540530966,1.0715992457730965,137.0,-16.18485197502274,9.703250089291759,5,0.0,-1.0,0.0
6,1980,-1.0,0.0,0.0,0.0,3.1444217704114843,10.917117457301437,0.7624785494996975,4.712578591591028,0.5803175380076161,167.5,4.707161673256376,5.839798003400568,6,0.0,1.0,3.4822558618411437
7,1980,0.0,1.0,0.0,0.0,0.9893330258142734,10.895058219674317,1.0763678773106264,5.456730721965852,0.8217297117131466,198.0,-1.349558225158775,5.985713048492472,7,-1.0,0.0,0.0
8,1980,0.0,0.0,0.0,1.5535090614043376,1.1813547726503004,13.36728102234644,2.0962501582430084,9.027336752506601,1.682275585315176,229.0,-0.4787181302456205,7.7317655902947235,8,0.0,1.0,0.0
9,1980,1.0,1.0,0.0,0.0,0.3540461207740009,17.151259140456098,4.601125424227005,14.041500345375187,2.804769582228806,259.5,-18.713268989290892,10.87619228234155,9,0.0,0.0,1.5535090614043376
10,1980,1.0,1.0,0.0,0.0,0.949581248419089,19.756950154441103,7.3361021792063,18.681469553399396,3.955005577334284,290.0,-15.778282083562235,13.546526166823703,10,1.0,1.0,0.0
11,1980,-1.0,-1.0,0.0,0.0,3.5341885895462424,18.137377831260025,7.005816535517067,21.37745622543255,4.1633039210240295,320.5,23.158713831114632,12.571597183388546,11,1.0,1.0,0.0
12,1980,0.0,1.0,0.0,0.0,1.6355698161205012,21.204684393327604,10.417891849804162,21.119457537555178,4.614828675009109,351.0,-15.995060922243079,15.811288121565882,12,-1.0,-1.0,0.0
1,1981,0.0,0.0,0.0,8.175887403054162,1.1463396699962847,24.57045402298556,11.99261423914285,22.890059922381877,4.839889265821866,16.0,-6.635491744653382,18.28153413106421,1,0.0,1.0,0.0
