doy,smd
1,-52.7630032352729
2,-54.19106649755218
3,-56.9987077185443
4,-59.079264491814634
5,-60.69250234049811
6,-63.52138102509081
7,-65.37079265336351
8,-65.68563522525346
9,-66.51562985496973
10,-66.55710077519677
11,-66.4808977544078
12,-67.3812323347847
13,-67.58118298293412
14,-69.52824787607969
15,-71.7456599052504
16,-73.67499672153068
17,-76.27251939165909
18,-76.76623778472455
19,-77.95532186188947
20,-79.38356989580062
21,-81.98084263947345
22,-82.55782458065974
23,-83.53808307515068
24,-83.92276678489287
25,-83.64831766734723
26,-84.69704956966375
27,-84.92944329568506
28,-85.98394498202688
29,-88.06816243082314
30,-89.8177753577979
31,-90.36925426170961
32,-54.80910758530147
33,-56.84520765400543
34,-58.16799982256925
35,-57.86026554450969
36,-58.08171232034267
37,-60.90420131596094
38,-62.27621775183082
39,-62.00829784890191
40,-63.85197651267906
41,-64.64084533783462
42,-62.407201719969365
43,-62.072342611802945
44,-62.63478689906478
45,-60.95055047054321
46,-62.00951949677139
47,-62.749776495747156
48,-63.42418831971337
49,-63.43304063687508
50,-63.487998376968136
51,-63.966952559638656
52,-66.07360608775006
53,-67.73019927069274
54,-67.39544631746413
55,-67.57305769021349
56,-69.39779217013546
57,-69.33145934735602
58,-69.10453281459576
59,-70.27918145040225
60,-42.66913777425235
61,-42.313946460156885
62,-43.19952042548452
63,-45.73206653340415
64,-46.800014332163535
65,-48.31883376070909
66,-49.36394359724861
67,-50.41531499536597
68,-52.23949406382683
69,-52.62906971717472
70,-52.01790967623685
71,-49.489600363934294
72,-46.32061698399245
73,-47.272257732667406
74,-48.83340998906164
75,-49.24080364664796
76,-50.69266314764672
77,-51.810135027887796
78,-52.25568221583789
79,-54.015463226111336
80,-53.71655640246922
81,-54.33816871447506
82,-54.152434181833435
83,-54.26496307493116
84,-54.49479667601459
85,-55.84153330557829
86,-56.99801991822202
87,-56.70346734264488
88,-55.94591037552473
89,-56.317341527010285
90,-55.74342436594075
91,-36.316230482220156
92,-37.327731158176654
93,-38.603939834939325
94,-39.19876317119433
95,-38.54950126254236
96,-37.34662749180468
97,-37.88650369807019
98,-37.5825091913778
99,-36.396040457670686
100,-37.117051472739576
101,-36.24838773613581
102,-36.90497305501632
103,-37.568748381289
104,-38.07141161507513
105,-37.873991953303786
106,-39.02220396170424
107,-39.639175480591
108,-39.753580847457016
109,-38.9483165302045
110,-39.52554943436069
111,-38.533399942947234
112,-39.27598770533741
113,-39.2679968856964
114,-38.39188032761126
115,-38.23513019914576
116,-38.339742089359106
117,-38.297894258147956
118,-36.35714807622972
119,-33.92813461864677
120,-32.97212523435264
121,-21.509604705003976
122,-20.607882398847327
123,-20.83830697375812
124,-21.518816792246426
125,-20.09269202096937
126,-20.865513317624423
127,-20.02644665619651
128,-19.740653441135432
129,-19.800332301212862
