,0
m01-A-A-0,0.29
m01-A-D-0,0.321
m01-H-A-0,0.152
m01-H-D-0,0.269
m02-A-A-0,0.247
m02-A-D-0,0.561
m02-H-A-0,0.414
m02-H-D-0,0.209
m03-A-A-0,0.108
m03-A-D-0,0.541
m03-H-A-0,0.451
m03-H-D-0,0.462
m04-A-A-0,0.055
m04-A-D-0,0.384
m05-A-A-0,0.255
m05-A-D-0,0.422
m05-A-W-0,0.495
m05-C-A-0,0.453
m05-C-W-0,0.318
m06-A-A-0,0.286
m06-C-A-0,0.172
m06-C-W-0,0.324
m07-A-A-0,0.66
m07-C-A-0,0.17
m07-C-W-0,0.366
m08-A-A-0,0.363
m08-A-D-0,0.095
m08-A-W-0,0.264
m08-C-A-0,0.273
m08-C-W-0,0.426
m09-A-A-0,0.175
m09-A-D-0,0.281
m09-A-W-0,0.899
m09-C-W-0,0.595
m10-A-A-0,0.224
m10-A-D-0,0.131
m11-A-A-0,0.157
m11-A-D-0,0.277
m11-H-A-0,0.701
m11-H-D-0,0.531
m12-A-A-0,0.207
m12-A-D-0,0.545
m12-H-A-0,0.543
m12-H-D-0,0.296
