year,month,temp_class,precip_class,rest
1,7,C,A,0.0
1,8,A,A,0.0
1,9,A,D,0.0
1,10,A,D,0.0
1,11,A,A,0.0
1,12,A,A,0.0
1,1,A,A,0.0
1,2,A,D,0.0
1,3,A,D,0.0
1,4,A,A,0.0
1,5,A,A,0.0
1,6,A,A,0.0
2,7,C,A,0.0
2,8,A,A,0.0
2,9,A,A,0.0
2,10,A,D,0.0
2,11,A,D,0.0
2,12,A,A,0.22580645161290322
2,1,A,D,0.3225806451612903
2,2,A,D,0.6071428571428571
2,3,A,D,0.5483870967741935
2,4,A,A,0.3333333333333333
2,5,A,A,0.0
2,6,A,A,0.0
3,7,C,A,0.0
3,8,A,W,0.0
3,9,A,W,0.0
3,10,A,A,0.0
3,11,A,A,0.0
3,12,A,D,0.0
3,1,A,D,0.3225806451612903
3,2,A,D,0.6071428571428571
3,3,A,D,0.5483870967741935
3,4,A,D,0.0
3,5,A,D,0.0
3,6,A,A,0.0
