'Year SSP119        SSP126       SSP245     SSP370     SSP434     SSP460      SSP585      SSP534-over  RCP2.6     RCP4.5     RCP6.0      RCP8.5
1765  0.0           0.0          0.0        0.0        0.0        0.0         0.0         0.0          0.0        0.0        0.0         0.0
1766  0.018786135   0.018786135  0.0187861  0.0187861  0.0187861  0.0187861   0.0184458   0.0187861    0.0360903  0.0360903  0.0360903   0.0360903
1767  -0.01168251   -0.01168251  -0.011682  -0.011682  -0.011682  -0.011682   -0.011876   -0.011682    0.0519234  0.0519234  0.0519234   0.0519234
1768  -0.01858654   -0.01858654  -0.018586  -0.018586  -0.018586  -0.018586   -0.019149   -0.018586    0.0589240  0.0589240  0.0589240   0.0589240
1769  0.025391074   0.025391074  0.0253910  0.0253910  0.0253910  0.0253910   0.0251175   0.0253910    0.0748307  0.0748307  0.0748307   0.0748307
1770  0.041154597   0.041154597  0.0411545  0.0411545  0.0411545  0.0411545   0.0407992   0.0411545    0.0811324  0.0811324  0.0811324   0.0811324
1771  0.050915935   0.050915935  0.0509159  0.0509159  0.0509159  0.0509159   0.0506594   0.0509159    0.0869394  0.0869394  0.0869394   0.0869394
1772  0.057672800   0.057672800  0.0576728  0.0576728  0.0576728  0.0576728   0.0576737   0.0576728    0.0935917  0.0935917  0.0935917   0.0935917
1773  0.058844140   0.058844140  0.0588441  0.0588441  0.0588441  0.0588441   0.0588532   0.0588441    0.0951930  0.0951930  0.0951930   0.0951930
1774  0.053470747   0.053470747  0.0534707  0.0534707  0.0534707  0.0534707   0.0531942   0.0534707    0.0920393  0.0920393  0.0920393   0.0920393
1775  0.051357675   0.051357675  0.0513576  0.0513576  0.0513576  0.0513576   0.0510589   0.0513576    0.0931117  0.0931117  0.0931117   0.0931117
1776  0.052551519   0.052551519  0.0525515  0.0525515  0.0525515  0.0525515   0.0525074   0.0525515    0.0998544  0.0998544  0.0998544   0.0998544
1777  0.053555847   0.053555847  0.0535558  0.0535558  0.0535558  0.0535558   0.0535920   0.0535558    0.1062200  0.1062200  0.1062200   0.1062200
1778  0.055947791   0.055947791  0.0559477  0.0559477  0.0559477  0.0559477   0.0557272   0.0559477    0.1088166  0.1088166  0.1088166   0.1088166
1779  0.066091732   0.066091732  0.0660917  0.0660917  0.0660917  0.0660917   0.0659221   0.0660917    0.1148573  0.1148573  0.1148573   0.1148573
1780  0.075503134   0.075503134  0.0755031  0.0755031  0.0755031  0.0755031   0.0753718   0.0755031    0.1188181  0.1188181  0.1188181   0.1188181
1781  0.079774633   0.079774633  0.0797746  0.0797746  0.0797746  0.0797746   0.0795199   0.0797746    0.1191462  0.1191462  0.1191462   0.1191462
1782  0.085155455   0.085155455  0.0851554  0.0851554  0.0851554  0.0851554   0.0852202   0.0851554    0.1248037  0.1248037  0.1248037   0.1248037
