,rsl-032586bad
ID,rsl-032586
log10_prob_irrigated,-11.175497730336085
log10_prob_dryland,-6.652618985055745
oxford-dryland_pg_yr1,8078.856621543751
oxford-dryland_pg_m07,0.0
oxford-dryland_pg_m08,31.342881652888547
oxford-dryland_pg_m09,279.2817062666716
oxford-dryland_pg_m10,853.866359368819
oxford-dryland_pg_m11,1600.8852979018964
oxford-dryland_pg_m12,1851.4356099414915
oxford-dryland_pg_m01,1499.169673504982
oxford-dryland_pg_m02,464.06823415079026
oxford-dryland_pg_m03,291.5432067775833
oxford-dryland_pg_m04,648.9057315863336
oxford-dryland_pg_m05,460.28692653417255
oxford-dryland_pg_m06,98.07099385812255
eyrewell-irrigated_pg_yr1,16173.221938350427
eyrewell-irrigated_pg_m07,15.306512671064693
eyrewell-irrigated_pg_m08,199.9588170367473
eyrewell-irrigated_pg_m09,799.5983242351112
eyrewell-irrigated_pg_m10,1442.8246023570603
eyrewell-irrigated_pg_m11,2237.971304372077
eyrewell-irrigated_pg_m12,2650.099028371635
eyrewell-irrigated_pg_m01,2722.629171599978
eyrewell-irrigated_pg_m02,2009.1297429876147
eyrewell-irrigated_pg_m03,1905.1903567754205
eyrewell-irrigated_pg_m04,1375.3047919148987
eyrewell-irrigated_pg_m05,421.4092946819769
eyrewell-irrigated_pg_m06,393.79999134684357
oxford-irrigated_pg_yr1,13168.273526061308
oxford-irrigated_pg_m07,0.4881046239818522
oxford-irrigated_pg_m08,0.39436973853820784
oxford-irrigated_pg_m09,270.76210989520285
oxford-irrigated_pg_m10,1008.8016402760177
oxford-irrigated_pg_m11,1768.5686372789576
oxford-irrigated_pg_m12,2272.2368509874373
oxford-irrigated_pg_m01,2489.997963999002
oxford-irrigated_pg_m02,2063.893044396589
oxford-irrigated_pg_m03,1756.4316167572651
oxford-irrigated_pg_m04,1126.6430228718773
oxford-irrigated_pg_m05,271.6042021227557
oxford-irrigated_pg_m06,138.45196311368576
eyrewell-store400_pg_yr1,17035.294597212353
eyrewell-store400_pg_m07,6.967941308413174
eyrewell-store400_pg_m08,188.4002673401185
eyrewell-store400_pg_m09,813.0690096413
eyrewell-store400_pg_m10,1467.6016263153936
eyrewell-store400_pg_m11,2269.6638573520463
eyrewell-store400_pg_m12,2684.8428394094367
eyrewell-store400_pg_m01,2819.5114451416503
eyrewell-store400_pg_m02,2438.9626280555754
eyrewell-store400_pg_m03,2080.057545586353
eyrewell-store400_pg_m04,1423.2718250716396
eyrewell-store400_pg_m05,434.1530877072935
eyrewell-store400_pg_m06,408.79252428313634
oxford-store400_pg_yr1,13628.479128315974
oxford-store400_pg_m07,0.0
oxford-store400_pg_m08,0.0
oxford-store400_pg_m09,223.0515226099233
oxford-store400_pg_m10,1058.7273277590548
oxford-store400_pg_m11,1831.9433342125274
oxford-store400_pg_m12,2320.2497540995555
oxford-store400_pg_m01,2525.2283148117535
oxford-store400_pg_m02,2277.614651606546
oxford-store400_pg_m03,1835.6057478029106
oxford-store400_pg_m04,1140.917284537827
oxford-store400_pg_m05,274.37241819169043
oxford-store400_pg_m06,140.76877268418767
eyrewell-store600_pg_yr1,17202.82518162334
eyrewell-store600_pg_m07,8.153720627500787
eyrewell-store600_pg_m08,192.60511703295958
eyrewell-store600_pg_m09,816.4763662508682
eyrewell-store600_pg_m10,1475.4750699144015
eyrewell-store600_pg_m11,2283.091632086322
eyrewell-store600_pg_m12,2701.990662291156
eyrewell-store600_pg_m01,2836.89449038175
eyrewell-store600_pg_m02,2491.1776501945424
eyrewell-store600_pg_m03,2113.3507366372846
eyrewell-store600_pg_m04,1433.786996095493
eyrewell-store600_pg_m05,437.1991665481417
eyrewell-store600_pg_m06,412.62357356291824
oxford-store600_pg_yr1,13730.84232517717
oxford-store600_pg_m07,0.0
oxford-store600_pg_m08,0.0
oxford-store600_pg_m09,226.87630819588858
oxford-store600_pg_m10,1064.1545375804342
oxford-store600_pg_m11,1841.8879032808698
oxford-store600_pg_m12,2334.5179825221185
oxford-store600_pg_m01,2540.7719512163026
oxford-store600_pg_m02,2300.9224250004845
oxford-store600_pg_m03,1852.5671673547974
oxford-store600_pg_m04,1149.280387915757
oxford-store600_pg_m05,276.76977368338436
oxford-store600_pg_m06,143.09388842713196
eyrewell-store800_pg_yr1,17248.610184045585
eyrewell-store800_pg_m07,8.486989848815503
eyrewell-store800_pg_m08,193.83985120877287
eyrewell-store800_pg_m09,817.8867552226093
eyrewell-store800_pg_m10,1478.637298247885
eyrewell-store800_pg_m11,2288.2976313912527
eyrewell-store800_pg_m12,2708.514683984944
eyrewell-store800_pg_m01,2843.4515521901553
eyrewell-store800_pg_m02,2499.147438853897
eyrewell-store800_pg_m03,2121.173172779537
eyrewell-store800_pg_m04,1437.0441896114978
eyrewell-store800_pg_m05,438.2147769467502
eyrewell-store800_pg_m06,413.91584375946627
oxford-store800_pg_yr1,13787.225784939263
oxford-store800_pg_m07,0.0
oxford-store800_pg_m08,0.0
oxford-store800_pg_m09,229.2916050481709
oxford-store800_pg_m10,1067.7262043736011
oxford-store800_pg_m11,1848.3664565374347
oxford-store800_pg_m12,2343.776070587071
oxford-store800_pg_m01,2550.792306815106
oxford-store800_pg_m02,2309.5620146123
oxford-store800_pg_m03,1860.5793923476056
oxford-store800_pg_m04,1154.3452264051928
oxford-store800_pg_m05,278.26996277724345
oxford-store800_pg_m06,144.51654543553764
irr_type,bad
