,date,precip_class,temp_class,rest,rest_per,year,month,precip_class_prev
0,2025-07-01,A,A,0.0,0.0,2024,7,A
1,2025-08-01,A,C,0.0,0.0,2024,8,A
2,2025-09-01,A,A,0.0144274139612665,0.7,2024,9,A
3,2025-10-01,A,H,0.0120411590461841,0.7,2024,10,A
4,2025-11-01,A,A,1e-08,0.8,2024,11,A
5,2025-12-01,A,A,0.4248643302385105,0.95,2024,12,A
6,2026-01-01,D,A,0.1436983112595606,0.5,2025,1,A
7,2026-02-01,D,H,0.8439035549837861,0.5,2025,2,D
8,2026-03-01,D,C,0.8543888761658682,0.7,2025,3,D
9,2026-04-01,A,A,0.3844599895169835,0.5,2025,4,D
10,2026-05-01,A,A,0.0,0.0,2025,5,A
11,2026-06-01,W,A,0.0,0.0,2025,6,A
