,date,precip_class,temp_class,rest,rest_per,year,month,precip_class_prev
0,2025-07-01,A,A,0.0,0.0,2024,7,A
1,2025-08-01,W,C,0.0,0.0,2024,8,A
2,2025-09-01,A,A,1e-08,0.6,2024,9,W
3,2025-10-01,D,A,0.0160735224086478,0.8,2024,10,A
4,2025-11-01,D,A,1e-08,0.7,2024,11,D
5,2025-12-01,D,A,0.0062830635250221,0.5,2024,12,D
6,2026-01-01,A,A,0.4203636201125156,0.9,2025,1,D
7,2026-02-01,A,A,0.8914354851899087,0.95,2025,2,A
8,2026-03-01,D,H,0.7843240029359122,0.9,2025,3,A
9,2026-04-01,W,A,0.8215149376033293,0.95,2025,4,D
10,2026-05-01,A,A,0.0,0.0,2025,5,W
11,2026-06-01,A,A,0.0,0.0,2025,6,A
