k,ID,log10_prob_irrigated,log10_prob_dryland,oxford-dryland_pg_yr1,oxford-dryland_pg_m07,oxford-dryland_pg_m08,oxford-dryland_pg_m09,oxford-dryland_pg_m10,oxford-dryland_pg_m11,oxford-dryland_pg_m12,oxford-dryland_pg_m01,oxford-dryland_pg_m02,oxford-dryland_pg_m03,oxford-dryland_pg_m04,oxford-dryland_pg_m05,oxford-dryland_pg_m06,eyrewell-irrigated_pg_yr1,eyrewell-irrigated_pg_m07,eyrewell-irrigated_pg_m08,eyrewell-irrigated_pg_m09,eyrewell-irrigated_pg_m10,eyrewell-irrigated_pg_m11,eyrewell-irrigated_pg_m12,eyrewell-irrigated_pg_m01,eyrewell-irrigated_pg_m02,eyrewell-irrigated_pg_m03,eyrewell-irrigated_pg_m04,eyrewell-irrigated_pg_m05,eyrewell-irrigated_pg_m06,oxford-irrigated_pg_yr1,oxford-irrigated_pg_m07,oxford-irrigated_pg_m08,oxford-irrigated_pg_m09,oxford-irrigated_pg_m10,oxford-irrigated_pg_m11,oxford-irrigated_pg_m12,oxford-irrigated_pg_m01,oxford-irrigated_pg_m02,oxford-irrigated_pg_m03,oxford-irrigated_pg_m04,oxford-irrigated_pg_m05,oxford-irrigated_pg_m06,eyrewell-store400_pg_yr1,eyrewell-store400_pg_m07,eyrewell-store400_pg_m08,eyrewell-store400_pg_m09,eyrewell-store400_pg_m10,eyrewell-store400_pg_m11,eyrewell-store400_pg_m12,eyrewell-store400_pg_m01,eyrewell-store400_pg_m02,eyrewell-store400_pg_m03,eyrewell-store400_pg_m04,eyrewell-store400_pg_m05,eyrewell-store400_pg_m06,oxford-store400_pg_yr1,oxford-store400_pg_m07,oxford-store400_pg_m08,oxford-store400_pg_m09,oxford-store400_pg_m10,oxford-store400_pg_m11,oxford-store400_pg_m12,oxford-store400_pg_m01,oxford-store400_pg_m02,oxford-store400_pg_m03,oxford-store400_pg_m04,oxford-store400_pg_m05,oxford-store400_pg_m06,eyrewell-store600_pg_yr1,eyrewell-store600_pg_m07,eyrewell-store600_pg_m08,eyrewell-store600_pg_m09,eyrewell-store600_pg_m10,eyrewell-store600_pg_m11,eyrewell-store600_pg_m12,eyrewell-store600_pg_m01,eyrewell-store600_pg_m02,eyrewell-store600_pg_m03,eyrewell-store600_pg_m04,eyrewell-store600_pg_m05,eyrewell-store600_pg_m06,oxford-store600_pg_yr1,oxford-store600_pg_m07,oxford-store600_pg_m08,oxford-store600_pg_m09,oxford-store600_pg_m10,oxford-store600_pg_m11,oxford-store600_pg_m12,oxford-store600_pg_m01,oxford-store600_pg_m02,oxford-store600_pg_m03,oxford-store600_pg_m04,oxford-store600_pg_m05,oxford-store600_pg_m06,eyrewell-store800_pg_yr1,eyrewell-store800_pg_m07,eyrewell-store800_pg_m08,eyrewell-store800_pg_m09,eyrewell-store800_pg_m10,eyrewell-store800_pg_m11,eyrewell-store800_pg_m12,eyrewell-store800_pg_m01,eyrewell-store800_pg_m02,eyrewell-store800_pg_m03,eyrewell-store800_pg_m04,eyrewell-store800_pg_m05,eyrewell-store800_pg_m06,oxford-store800_pg_yr1,oxford-store800_pg_m07,oxford-store800_pg_m08,oxford-store800_pg_m09,oxford-store800_pg_m10,oxford-store800_pg_m11,oxford-store800_pg_m12,oxford-store800_pg_m01,oxford-store800_pg_m02,oxford-store800_pg_m03,oxford-store800_pg_m04,oxford-store800_pg_m05,oxford-store800_pg_m06,irr_type
rsl-000310_bad_irr,rsl-000310,-13.166348450345854,-6.972528424329739,4079.7863665176137,155,310,278.88640251140004,955.8774017922524,1596.291099062044,517.3853721199674,19.62450368654929,0.0,0.0,28.176448741896177,68.5451386035043,150,11175.475803708381,310,465,1125.7302455146005,2010.1952722432911,2239.0486509756465,2140.296193974892,2252.824562579123,323.0328629735336,11.56693863993902,79.69527488042971,68.08580192692516,150,8911.103330585102,155,310,373.67282541611166,1402.7221036389003,1769.687516175815,1851.9126502314627,2183.9430972043024,451.74128090428894,53.13062464773325,153.78859596051996,55.50463640596818,150,12231.673487482594,310,465,1144.2985380460009,2043.8714667634977,2270.8834256456717,2173.880608625747,2447.9858367933048,875.0988490167025,41.967127618111384,182.76164309080787,125.92599188275021,150,10061.696841859386,155,310,304.7997620791282,1472.0648017666308,1833.3625549418946,1893.9712024906073,2242.8160672226677,1084.0946498660744,181.06237650056158,330.91528348291166,103.61014350890936,150,12878.270480382444,310,465,1148.9492755881042,2054.80223950199,2284.381282561079,2188.0796003614737,2462.0869660591466,1216.7160823140905,108.78377883141627,311.8077958738564,177.66345929128593,150,10708.107932679193,155,310,310.21761194607944,1479.6364998900192,1843.3236701181634,1905.8709976459756,2256.0287427948238,1384.8023979185011,322.234013442848,456.71591406523174,134.2780848575512,150,13549.174999903775,310,465,1150.888881362364,2059.195368117099,2289.6116670657098,2193.476869581308,2467.401011726912,1530.094655520589,237.01652507967557,461.534792077257,234.95522937286083,150,11371.262156868215,155,310,313.6424105536844,1484.6310649096936,1849.8550102671034,1913.581863634422,2264.473170904477,1636.9521626417963,530.770612067873,590.1367300844826,172.21913180468417,150,bad
rsl-000311_bad_irr,rsl-000311,-10.97252842432974,-6.972528424329739,4079.7863665176137,155,310,278.88640251140004,955.8774017922524,1596.291099062044,517.3853721199674,19.62450368654929,0.0,0.0,28.176448741896177,68.5451386035043,150,11244.247522584032,310,465,1125.6865571839849,2009.7762701977813,2238.894883733742,2144.8911161889655,2281.619296942581,364.79029164487883,23.141298227194266,78.74953698182905,51.698271483072965,150,8981.31013118368,155,310,373.6594558679498,1402.4228792147305,1769.5499224727357,1852.4755723344688,2195.3239553416147,491.8163486404826,72.60098517837213,154.15794534729204,54.30306678603526,150,12299.582582675153,310,465,1144.2985380460009,2043.8714667634977,2270.8834256456717,2173.880608625747,2447.9770158667407,962.4165547997427,63.98971129968422,160.60086572939034,106.6643958986774,150,10121.260091989168,155,310,304.7997620791282,1472.0648017666308,1833.3625549418946,1893.9712024906073,2242.8103885170103,1145.4927899913857,194.30102482737723,318.99049725709216,100.46707011804132,150,12921.391334519036,310,465,1148.9492755881042,2054.80223950199,2284.381282561079,2188.0796003614737,2462.0869660591466,1303.1484578234292,138.04516802205816,260.90455309632307,155.99379150543305,150,10758.721052308303,155,310,310.21761194607944,1479.6364998900192,1843.3236701181634,1905.8709976459756,2256.0287427948238,1439.5801422737782,337.7955541152602,439.26358165912353,132.00425186507917,150,13559.740154919775,310,465,1150.888881362364,2059.195368117099,2289.6116670657098,2193.476869581308,2467.401011726912,1599.6288188167873,268.62567378200805,395.9013695177044,210.01049494988374,150,11414.028300026315,155,310,313.6424105536844,1484.6310649096936,1849.8550102671034,1913.581863634422,2264.473170904477,1668.0981580988105,558.0830515808492,578.0042072000048,168.65936287727195,150,bad
rsl-001049_bad_irr,rsl-001049,-15.299935661865627,-7.555208166968931,3690.8758218159383,155,310,309.20011318545664,306.35505996777573,1295.4547533975756,542.8840473882655,162.49940299171087,2.2961691849379986,25.606296178585893,301.95411188295685,129.625867638673,150,11764.667154871966,310,465,1637.2145029651394,2137.655679020854,2252.3175537019465,1657.4538345248588,1944.8526221299226,328.3489729814348,223.56350575704207,475.00787308870576,183.25261070206224,150,9709.526127317067,155,310,1097.8747931041735,1533.510677722716,1774.3111084593954,1462.879473678019,1953.2727162339547,403.9014434547178,292.7822239653495,462.1147592655313,113.87893143321197,150,12841.186838228068,310,465,1662.952693288423,2172.2168135119928,2284.5688423015995,1916.1887153400237,2302.6740621450986,497.985778041605,290.8654032497481,571.4438663810196,217.29066396855782,150,10856.808029899055,155,310,1109.2831735478308,1600.2072983078879,1827.604884792956,1591.2129658387403,2176.0962064039063,764.7377731013229,438.4224918656761,589.4537760051177,144.78946003561805,150,13413.01898025228,310,465,1669.590825242538,2184.640927720948,2298.793753525395,1936.0751605679325,2401.784827034945,730.4991262394971,365.21676452877244,658.8341306649148,242.58346472733732,150,11493.551552382283,155,310,1115.5720434121556,1608.609971185963,1838.5515227402755,1602.509495703306,2210.222740046783,1058.9166841530005,585.6890021392229,688.4555922091162,170.02450079246128,150,14057.069663350801,310,465,1672.3464399004724,2189.5695241845438,2304.2691967040173,1941.3776866606377,2430.5786045894415,1052.1861676979445,498.1682357050349,767.6229706192474,275.9508372894638,150,12161.823420709854,155,310,1119.607739676502,1614.1231444249484,1845.7186172319336,1609.9662955561357,2217.951623696182,1350.8506120978948,787.3782775991211,802.1554925295742,199.07161789756034,150,bad
rsl-002571_bad_irr,rsl-002571,-15.634631089108796,-9.367024848931763,3410.0053401250902,155,310,380.16479086588254,1197.1789165179614,606.4049402229859,317.3698548975276,142.1233795471482,2.4354916202544916,35.1201079416139,51.636346136686974,62.57151237502952,150,11332.986010569457,310,465,869.1110986934747,2371.4889751987466,2082.3342543668623,1883.0086240107562,2186.9496286892986,371.15822393768167,133.06120082669565,364.65861050891925,146.21539433702193,150,9144.360163644295,155,310,348.95718935252944,1754.1644358848728,1578.7863726552205,1531.411088526238,2082.211995390333,433.07202510143844,217.96881713452808,473.36887048733115,109.41936911180325,150,12542.220483887704,310,465,885.0705862649393,2409.217508416935,2114.3689091446604,1912.4758312458293,2407.6978208020273,909.004783447373,239.80284789813865,533.1889937384352,206.39320292936586,150,10406.699523811667,155,310,319.657462208025,1832.3966038959134,1638.4240165546034,1572.5674790754147,2189.797518720216,1019.4784494057545,412.49745727361034,657.2744437218565,149.60609295627307,150,13232.312345380986,310,465,889.0147341885656,2422.329920102524,2127.5922751900507,1926.4041178689904,2423.720862710464,1255.976396673188,367.80101275841434,652.4361878661956,242.036838022594,150,11082.65706876061,155,310,324.142269260235,1841.4138047996553,1647.7957961025538,1583.6432673721256,2204.2979269403268,1332.4451619732272,589.3876555028354,769.0701756069815,175.46101120267159,150,13907.46786498463,310,465,890.6639806468534,2427.561063919398,2132.7837719059635,1931.76253109945,2428.42663703591,1562.0457770752691,554.6867865042185,776.380007172345,278.1573096252216,150,11736.224053941683,155,310,326.9618072088068,1847.3217725231377,1653.944722710835,1590.8147941951868,2212.0431344003573,1592.245558701189,814.9116488834618,880.8765160717094,202.10409924699897,150,bad
rsl-002849_bad_irr,rsl-002849,-13.649746478423122,-7.80810897051837,2011.3605287670157,155,310,157.3943029007181,271.45767655986884,903.72889306592,63.779656240508864,0.0,0.0,0.0,0.0,0.0,150,12090.541241382272,310,465,1617.5310832769583,2564.6529223051384,1874.6632432213512,2105.7710763061227,2302.41645784813,617.4612827864167,39.619827280958596,36.911138722054126,6.514209635142024,150,9742.011681158308,155,310,1117.871206460185,1958.772413291197,1423.804355521149,1802.400090780979,2066.269199197713,643.3806089517767,51.1850045785506,55.66002325617209,7.668779120585836,150,13245.805872781824,310,465,1681.1514014257114,2618.8917213984664,1911.8421188501877,2144.727518063425,2340.741845154308,1334.4311648882656,165.6174087704394,105.61803349162243,17.784660739398145,150,10896.3651729349,155,310,1133.4036298191347,2038.8870291116198,1471.7326451401343,1841.8630107197184,2083.943758141871,1292.0659508890203,222.19174635186283,178.2109503567256,19.066452404812615,150,13837.441670187956,310,465,1688.0400311293843,2633.6019630490946,1923.9283613014395,2160.1463886468073,2356.790896551583,1642.622173433843,313.535409292512,167.78813420760375,25.98831257568739,150,11494.786279910328,155,310,1140.2324845642984,2049.108887303669,1480.645911561592,1854.863995593997,2098.342758375087,1543.3283092629986,414.76909716131786,271.89868091042734,26.59615517694006,150,14410.881946252997,310,465,1690.8600932219347,2638.808932720322,1928.5469358241662,2165.9467333354883,2362.8148462386494,1845.747189678593,569.5720812021267,246.72740165559023,36.857732376128375,150,12106.11581292555,155,310,1144.587591260635,2055.874207722007,1486.484460539158,1863.373398034104,2107.506278682133,1667.1954450582791,750.8525361390651,380.0560728194752,35.18582267069299,150,bad
rsl-003323_bad_irr,rsl-003323,-13.130987502812834,-8.317378718508326,5433.682350244791,155,310,187.75203794986786,902.6707457222154,2348.5467991344153,1004.0177817245111,32.62891872401976,0.36634263085894386,12.158467413367022,244.7905182533547,85.75073869218075,150,11762.861059208415,310,465,1564.3382542335141,2039.7703615508087,1932.2884818801203,1891.0409059555923,2058.895738707976,260.0485584544969,226.13277862006495,620.877801215897,244.46817858994336,150,9373.293257855565,155,310,881.7103894733286,1437.153778006716,1421.7490463086663,1542.3819866559527,2071.1544931234803,375.2295773798678,313.21833588634473,574.9433692347903,140.75228178641825,150,12965.108831308058,310,465,1599.3738820447772,2077.0219121619098,1964.9411030319625,1922.548219248807,2436.410102804324,634.5579892773421,337.12008949880425,776.4909985634458,291.6445346766863,150,10616.624307057524,155,310,819.1960694469636,1514.2371465016051,1478.7248041603925,1585.901961760162,2226.838032588658,908.422812265183,534.736397885435,753.5333844385008,180.0336980106231,150,13735.697714062298,310,465,1605.729839617907,2088.3050751092205,1977.3193735002003,1936.6420220518985,2451.8937931624523,1008.4957569931821,493.48867333845305,918.093567294698,330.7296129942888,150,11339.170134681332,155,310,826.9317333111891,1521.6029166346216,1487.4241586887283,1597.0088121432673,2239.6654423835107,1234.7782317145502,735.5706813846382,872.109734062542,209.07842435828275,150,14476.927956206915,310,465,1608.3457149157928,2092.825259383258,1982.1666110903489,1942.0390039071146,2457.0250526303366,1337.7683214698745,704.0487965604959,1060.350558156156,367.3586380935367,150,12024.349032237029,155,310,831.8558857405608,1526.4969381263195,1493.0974995269553,1604.2285122682674,2247.997015297963,1523.8984941885758,964.0399403032321,982.2740029010648,235.46074388408996,150,bad
rsl-004350_bad_irr,rsl-004350,-15.083427623455409,-8.940760119886678,3331.3508002938415,155,310,313.9462661855292,1144.6026732044704,609.0352681432619,281.6836618680704,134.5752961774893,3.289719627917565,3.2045744029122485,101.23609553722947,124.77724514696098,150,11407.277877460387,310,465,804.9438397365375,2359.962472484419,2070.4912023608376,2112.575917457398,2321.442074955255,481.3002150595877,26.754448414058626,189.97334636711253,114.83436062518247,150,9035.254068217235,155,310,139.5103854806212,1729.117982796384,1592.0931226565947,1825.9629011354607,2173.0441628943536,524.6458308190552,71.45823850234082,289.0896149674821,75.33182896494276,150,12714.1064593495,310,465,818.5241751806531,2402.0797837995956,2103.705853892983,2153.932222565,2428.5447257540304,1114.84060580494,122.17469759600891,433.97646951117093,211.32792524511788,150,10317.949448033118,155,310,92.22143216416364,1793.956801144483,1664.1649138355326,1873.4685013027433,2205.656651548014,1133.6689011996705,250.67822814108206,551.669763978838,137.46425471859072,150,13446.69033941073,310,465,822.4679521227444,2414.481883878217,2116.3323587513282,2167.982714389776,2441.5248661726005,1437.5864692850291,242.46475636812934,611.3881676442572,267.46117079864797,150,11031.51662987026,155,310,95.31233108278622,1803.954191948653,1672.9455147450597,1885.0716027437652,2217.838522590017,1415.7057566377036,430.7659658450761,717.0595255129256,177.86321876427465,150,14155.918303051076,310,465,824.0680950646214,2419.4460006150366,2121.2848450096767,2173.412839407197,2446.373651459815,1702.235332907506,424.95451630207265,799.8682128611898,319.2748094239593,150,11713.688020752626,155,310,97.29145551901176,1810.4382196292727,1678.6793799286804,1892.6333928189474,2225.6709461842675,1600.7951800180585,696.3332684349225,884.5181348184041,212.32804340106085,150,bad
rsl-004702_bad_irr,rsl-004702,-13.573677813290974,-7.431010309722245,3041.1567793548593,155,310,392.08711633766796,599.1590948461155,1320.102551312758,112.47223194178241,0.0,0.0,0.0,0.0,2.3357849165351605,150,12210.795391561482,310,465,1200.108255377246,2555.5195223475534,2279.27744308979,2132.4948828068805,2281.4032673379334,692.3097575057861,75.02587322013915,48.37246344972335,21.283926426430117,150,9844.072080664428,155,310,651.8408593593964,1933.5459813407886,1819.0012533497718,1834.801149465656,2050.786095938595,718.6006584834754,97.27465101794479,99.57404720939223,23.647384499406996,150,13372.026548879807,310,465,1229.659906096098,2600.7545963083535,2313.724068559707,2169.5446217425883,2319.0244077658776,1410.3916516702711,222.37094274665105,128.88070174548082,52.675652244778014,150,10999.392148947774,155,310,630.3855651982832,2013.186658024354,1872.663127986164,1874.0819012829143,2068.7871755786578,1365.6034139985577,295.15082884286034,207.56306450166127,56.970413534323036,150,13989.92894258508,310,465,1234.8383554866823,2614.8824280974445,2327.658142093627,2184.0969654232463,2334.94204710193,1704.8405135020075,390.9452163398348,192.16091352030875,80.56436101999822,150,11612.454681331532,155,310,636.13930878907,2023.0385591692268,1883.373985235957,1886.8837545847764,2082.9072825529,1587.4197473327358,518.079512942815,297.99667126915205,81.61585945489757,150,14601.64989973275,310,465,1236.9777033083005,2620.46098772614,2333.0445304466884,2189.840701400029,2340.9055733461423,1866.5835144341459,686.4884849039518,284.8323874335941,117.51601673375716,150,12258.237079771785,155,310,639.7860143899419,2029.5361743122392,1890.3629830431091,1895.1343172553782,2092.0767257023745,1671.8561152029024,866.3800028960655,440.6000364007734,117.50471056900021,150,bad
rsl-004703_bad_irr,rsl-004703,-14.95388905500258,-7.431010309722245,3041.1567793548593,155,310,392.08711633766796,599.1590948461155,1320.102551312758,112.47223194178241,0.0,0.0,0.0,0.0,2.3357849165351605,150,12100.716568908052,310,465,1200.1029629314592,2555.5285122443734,2279.1840901131977,2132.118661074295,2280.1796566936014,631.710769264723,40.535416458279165,37.622609734151276,18.73389039397209,150,9727.524700875148,155,310,651.840847497381,1933.4973706195171,1818.9512611391438,1835.6044656652111,2051.303055106544,677.1136614709245,54.93868135850338,69.59713224365288,19.678225774271098,150,13212.796798071402,310,465,1229.659906096098,2600.7545963083535,2313.724068559707,2169.5446217425883,2319.0244077658776,1337.7329422771559,162.1175575226536,113.97597000264265,41.26272779632367,150,10863.739309414408,155,310,630.3855651982832,2013.186658024354,1872.663127986164,1874.0819012829143,2068.7871755786578,1313.8888792891157,235.69541703100023,189.84872890732143,50.201856116597035,150,13820.840309266343,310,465,1234.8383554866823,2614.8824280974445,2327.658142093627,2184.0969654232463,2334.94204710193,1644.3163001183411,315.1507626666467,174.85832904879908,65.09697922962523,150,11478.118292545207,155,310,636.13930878907,2023.0385591692268,1883.373985235957,1886.8837545847764,2082.9072825529,1556.8735863058266,446.8300004762735,274.6734584289546,72.39835700222051,150,14407.830293501647,310,465,1236.9777033083005,2620.46098772614,2333.0445304466884,2189.840701400029,2340.9055733461423,1838.0284056479509,585.002495289609,250.21259437630906,88.35730196047926,150,12107.720958211508,155,310,639.7860143899419,2029.5361743122392,1890.3629830431091,1895.1343172553782,2092.0767257023745,1667.5861698276494,786.168708737057,390.0754146680674,101.9944502756914,150,bad
rsl-005163_bad_irr,rsl-005163,-11.825033676322231,-7.700094939713931,1826.2867406031144,155,310,205.40207430469508,316.5876260848146,412.8425191331789,234.29847423145716,7.975063069403003,0.0,0.0,9.729361837281239,24.451621942284216,150,11978.3773268591,310,465,1481.4899617721587,2124.7541470927154,2256.173163001244,2134.7591763669725,2264.124933114021,455.97369351904877,35.87060183466331,226.98396317475124,73.24768698352442,150,9294.759537655495,155,310,659.2328297066011,1523.4093078443996,1819.3702001621484,1829.614373480519,2030.366588190409,500.82615393412027,49.327631988838995,231.1785018439375,36.433950504520375,150,13280.448410282092,310,465,1498.4376209473814,2161.2853987786566,2289.2891928239183,2164.5625652004924,2330.1855705219555,1151.2442952851989,136.69850328627282,483.583607610794,140.1616558274214,150,10507.244598310923,155,310,593.0154321722562,1591.6240973102497,1878.079835749336,1867.5075415821677,2059.2413961297475,1144.2418386880315,192.8091038157346,490.4839788977615,75.24137396563731,150,14017.174113032892,310,465,1505.8687032844916,2171.9618157997484,2302.6373870112498,2178.630354043476,2345.7213609951095,1475.0122835305515,258.44945304512675,671.1171430790992,182.77561224403914,150,11183.87435422406,155,310,599.4967543520969,1599.1181063329227,1888.4015456847683,1879.4315757838006,2072.768500331781,1421.0715385935196,349.5282867370347,657.4394632449463,101.61858316318997,150,14723.150045558627,310,465,1508.7334062601108,2176.3464769647717,2307.8356068384423,2184.0106665309445,2351.526437609296,1738.997311562154,453.38143682387374,855.2169143823556,222.10178858667928,150,11850.225671578035,155,310,603.6227525226088,1604.03254141299,1895.1174536385745,1887.115550005632,2081.531972830019,1603.572502365431,604.544111331535,829.0855313950151,126.60325607622963,150,bad
