k,ID,log10_prob_irrigated,log10_prob_dryland,oxford-dryland_pg_yr1,oxford-dryland_pg_m07,oxford-dryland_pg_m08,oxford-dryland_pg_m09,oxford-dryland_pg_m10,oxford-dryland_pg_m11,oxford-dryland_pg_m12,oxford-dryland_pg_m01,oxford-dryland_pg_m02,oxford-dryland_pg_m03,oxford-dryland_pg_m04,oxford-dryland_pg_m05,oxford-dryland_pg_m06,eyrewell-irrigated_pg_yr1,eyrewell-irrigated_pg_m07,eyrewell-irrigated_pg_m08,eyrewell-irrigated_pg_m09,eyrewell-irrigated_pg_m10,eyrewell-irrigated_pg_m11,eyrewell-irrigated_pg_m12,eyrewell-irrigated_pg_m01,eyrewell-irrigated_pg_m02,eyrewell-irrigated_pg_m03,eyrewell-irrigated_pg_m04,eyrewell-irrigated_pg_m05,eyrewell-irrigated_pg_m06,oxford-irrigated_pg_yr1,oxford-irrigated_pg_m07,oxford-irrigated_pg_m08,oxford-irrigated_pg_m09,oxford-irrigated_pg_m10,oxford-irrigated_pg_m11,oxford-irrigated_pg_m12,oxford-irrigated_pg_m01,oxford-irrigated_pg_m02,oxford-irrigated_pg_m03,oxford-irrigated_pg_m04,oxford-irrigated_pg_m05,oxford-irrigated_pg_m06,eyrewell-store400_pg_yr1,eyrewell-store400_pg_m07,eyrewell-store400_pg_m08,eyrewell-store400_pg_m09,eyrewell-store400_pg_m10,eyrewell-store400_pg_m11,eyrewell-store400_pg_m12,eyrewell-store400_pg_m01,eyrewell-store400_pg_m02,eyrewell-store400_pg_m03,eyrewell-store400_pg_m04,eyrewell-store400_pg_m05,eyrewell-store400_pg_m06,oxford-store400_pg_yr1,oxford-store400_pg_m07,oxford-store400_pg_m08,oxford-store400_pg_m09,oxford-store400_pg_m10,oxford-store400_pg_m11,oxford-store400_pg_m12,oxford-store400_pg_m01,oxford-store400_pg_m02,oxford-store400_pg_m03,oxford-store400_pg_m04,oxford-store400_pg_m05,oxford-store400_pg_m06,eyrewell-store600_pg_yr1,eyrewell-store600_pg_m07,eyrewell-store600_pg_m08,eyrewell-store600_pg_m09,eyrewell-store600_pg_m10,eyrewell-store600_pg_m11,eyrewell-store600_pg_m12,eyrewell-store600_pg_m01,eyrewell-store600_pg_m02,eyrewell-store600_pg_m03,eyrewell-store600_pg_m04,eyrewell-store600_pg_m05,eyrewell-store600_pg_m06,oxford-store600_pg_yr1,oxford-store600_pg_m07,oxford-store600_pg_m08,oxford-store600_pg_m09,oxford-store600_pg_m10,oxford-store600_pg_m11,oxford-store600_pg_m12,oxford-store600_pg_m01,oxford-store600_pg_m02,oxford-store600_pg_m03,oxford-store600_pg_m04,oxford-store600_pg_m05,oxford-store600_pg_m06,eyrewell-store800_pg_yr1,eyrewell-store800_pg_m07,eyrewell-store800_pg_m08,eyrewell-store800_pg_m09,eyrewell-store800_pg_m10,eyrewell-store800_pg_m11,eyrewell-store800_pg_m12,eyrewell-store800_pg_m01,eyrewell-store800_pg_m02,eyrewell-store800_pg_m03,eyrewell-store800_pg_m04,eyrewell-store800_pg_m05,eyrewell-store800_pg_m06,oxford-store800_pg_yr1,oxford-store800_pg_m07,oxford-store800_pg_m08,oxford-store800_pg_m09,oxford-store800_pg_m10,oxford-store800_pg_m11,oxford-store800_pg_m12,oxford-store800_pg_m01,oxford-store800_pg_m02,oxford-store800_pg_m03,oxford-store800_pg_m04,oxford-store800_pg_m05,oxford-store800_pg_m06,irr_type
rsl-000310_bad_irr,rsl-000310,-13.166348450345854,-6.972528424329739,3272.5155654788023,0.0,26.26638838203157,199.20457322242862,682.7695727087518,1596.291099062044,646.7317151499593,24.53062960818661,0.0,0.0,28.176448741896177,68.5451386035043,0.0,10767.784945153935,15.787224838096805,213.82332462847492,804.093032510429,1435.8537658880653,2239.0486509756465,2675.370242468615,2816.0307032239034,403.79107871691696,14.458673299923774,79.69527488042971,68.08580192692516,1.7471717965094673,8924.798627536698,0.4881046239818522,0.5666873820989338,266.90916101150833,1001.9443597420717,1769.687516175815,2314.8908127893283,2729.928871505378,564.6766011303612,66.41328080966656,153.78859596051996,55.50463640596818,0.0,11991.260672266919,7.030010716627797,202.96065792441348,817.3560986042863,1459.9081905453556,2270.8834256456717,2717.3507607821834,3059.982295991631,1093.873561270878,52.458909522639225,182.76164309080787,125.92599188275021,0.7691262896756809,10289.507326209146,0.0,0.0,217.71411577080585,1051.4748584047363,1833.3625549418946,2367.464003113259,2803.5200840283346,1355.118312332593,226.32797062570197,330.91528348291166,103.61014350890936,0.0,12748.528651130546,8.181504095801126,207.25628669214447,820.6780539915031,1467.7158853585643,2284.381282561079,2735.0995004518422,3077.608707573933,1520.895102892613,135.97972353927034,311.8077958738564,177.66345929128593,1.2613488086534257,11048.9550815337,0.0,0.0,221.5840085329139,1056.8832142071567,1843.3236701181634,2382.3387470574694,2820.0359284935294,1731.0029973981264,402.7925168035599,456.71591406523174,134.2780848575512,0.0,13533.717315197904,8.517911809416676,208.50935485934096,822.0634866874028,1470.8538343693565,2289.6116670657098,2741.846086976635,3084.25126465864,1912.618319400736,296.27065634959445,461.534792077257,234.95522937286083,2.6847115709550926,11828.914187619395,0.0,0.0,224.03029325263174,1060.4507606497812,1849.8550102671034,2391.9773295430273,2830.5914636305956,2046.1902033022454,663.4632650848413,590.1367300844826,172.21913180468417,0.0,bad
rsl-000311_bad_irr,rsl-000311,-10.97252842432974,-6.972528424329739,3272.5155654788023,0.0,26.26638838203157,199.20457322242862,682.7695727087518,1596.291099062044,646.7317151499593,24.53062960818661,0.0,0.0,28.176448741896177,68.5451386035043,0.0,10858.514620891276,15.787224838096805,213.81981493096518,804.0618265599892,1435.554478712701,2238.894883733742,2681.1138952362066,2852.0241211782263,455.9878645560985,28.92662278399283,78.74953698182905,51.698271483072965,1.89607989635357,9012.967042825587,0.4881046239818522,0.5666873820989338,266.89961133424987,1001.7306280105219,1769.5499224727357,2315.5944654180857,2744.1549441770185,614.7704358006032,90.75123147296516,154.15794534729204,54.30306678603526,0.0,12087.620526381843,7.030010716627797,202.96065792441348,817.3560986042863,1459.9081905453556,2270.8834256456717,2717.3507607821834,3059.9712698334256,1203.0206934996784,79.98713912460526,160.60086572939034,106.6643958986774,1.887018077529982,10367.728353775547,0.0,0.0,217.71411577080585,1051.4748584047363,1833.3625549418946,2367.464003113259,2803.5129856462627,1431.865987489232,242.87628103422153,318.99049725709216,100.46707011804132,0.0,12821.245824582917,8.181504095801126,207.25628669214447,820.6780539915031,1467.7158853585643,2284.381282561079,2735.0995004518422,3077.608707573933,1628.9355722792864,172.55646002757268,260.90455309632307,155.99379150543305,1.934226949435805,11117.15302241973,0.0,0.0,221.5840085329139,1056.8832142071567,1843.3236701181634,2382.3387470574694,2820.0359284935294,1799.4751778422226,422.2444426440752,439.26358165912353,132.00425186507917,0.0,13569.749814282095,8.517911809416676,208.50935485934096,822.0634866874028,1470.8538343693565,2289.6116670657098,2741.846086976635,3084.25126465864,1999.536023520984,335.7820922275101,395.9013695177044,210.01049494988374,2.8662276395116186,11886.34743026058,0.0,0.0,224.03029325263174,1060.4507606497812,1849.8550102671034,2391.9773295430273,2830.5914636305956,2085.122697623513,697.6038144760615,578.0042072000048,168.65936287727195,0.05249074058671024,bad
rsl-001049_bad_irr,rsl-001049,-15.299935661865627,-7.555208166968931,3248.052410126229,0.0,164.72801598962553,220.85722370389763,218.82504283412553,1295.4547533975756,678.6050592353317,203.12425373963856,2.870211481172498,32.007870223232366,301.95411188295685,129.625867638673,0.0,11398.988614021062,24.242722029804256,538.0886324314334,1169.4389306893854,1526.8969135863244,2252.3175537019465,2071.8172931560734,2431.065777662403,410.4362162267935,279.45438219630256,475.00787308870576,183.25261070206224,36.96970854982872,9492.1187807359,0.4881046239818522,120.720004698094,784.1962807886954,1095.3647698019402,1774.3111084593954,1828.5993420975235,2441.5908952924433,504.87680431839726,365.97777995668685,462.1147592655313,113.87893143321197,0.0,12651.91541719385,12.682772423296406,531.4704586086265,1187.8233523488736,1551.583438222852,2284.5688423015995,2395.2358941750294,2878.342577681373,622.4822225520062,363.5817540621851,571.4438663810196,217.29066396855782,35.409574468430044,10772.94495463299,0.0,62.581264824150566,792.3451239627362,1143.0052130770628,1827.604884792956,1989.0162072984251,2720.1202580048825,955.9222163766535,548.0281148320951,589.4537760051177,144.78946003561805,0.07843542329383747,13335.75851517704,14.518114114684616,536.2363241497137,1192.5648751732415,1560.4578055149632,2298.793753525395,2420.0939507099156,3002.231033793681,913.1239077993713,456.5209556609655,658.8341306649148,242.58346472733732,39.80019934285669,11530.033364412537,0.0,64.69896720830299,796.8371738658255,1149.007122275688,1838.5515227402755,2003.1368696291322,2762.778425058479,1323.6458551912506,732.1112526740286,688.4555922091162,170.02450079246128,0.7860827679762372,14107.616985500656,15.041401118440087,537.726900910644,1194.5331713574803,1563.9782315603886,2304.2691967040173,2426.722108325797,3038.223255736802,1315.2327096224305,622.7102946312936,767.6229706192474,275.9508372894638,45.60590762465202,12324.725473777538,0.0,66.02113864789605,799.7198140546443,1152.9451031606775,1845.7186172319336,2012.4578694451695,2772.4395296202274,1688.5632651223684,984.2228469989013,802.1554925295742,199.07161789756034,1.410179068584438,bad
rsl-002571_bad_irr,rsl-002571,-15.634631089108796,-9.367024848931763,2640.7816123700654,0.0,164.72801598962553,271.5462791899161,855.1277975128296,606.4049402229859,396.71231862190945,177.65422443393524,3.044364525318114,43.900134927017376,51.636346136686974,62.57151237502952,7.455678434811648,11375.478076259358,24.242722029804256,488.4903460719782,620.7936419239105,1693.9206965705334,2082.3342543668623,2353.760780013445,2733.6870358616234,463.94777992210203,166.32650103336957,364.65861050891925,146.21539433702193,237.10031361978986,9131.474267757478,0.4881046239818522,78.77593142519376,249.25513525180676,1252.9745970606234,1578.7863726552205,1914.2638606577975,2602.764994237916,541.340031376798,272.4610214181601,473.36887048733115,109.41936911180325,57.575979450844294,12772.860665876335,12.682772423296406,481.3406715470607,632.193275903528,1720.8696488692392,2114.3689091446604,2390.5947890572866,3009.622276002534,1136.2559793092162,299.7535598726733,533.1889937384352,206.39320292936586,235.5965870790386,10562.764988094128,0.0,32.87692550776783,228.32675872001786,1308.8547170685097,1638.4240165546034,1965.709348844268,2737.24689840027,1274.3480617571931,515.6218215920129,657.2744437218565,149.60609295627307,54.47590297135583,13611.77835889049,14.518114114684616,485.93777963313914,635.0105244204041,1730.2356572160886,2127.5922751900507,2408.0051473362378,3029.65107838808,1569.970495841485,459.7512659480179,652.4361878661956,242.036838022594,256.6329949135141,11381.469056516304,0.0,34.17112905120722,231.53019232873933,1315.2955748568968,1647.7957961025538,1979.554084215157,2755.372408675408,1665.556452466534,736.7345693785443,769.0701756069815,175.46101120267159,70.92766263160901,14427.76350630023,15.041401118440087,487.36197909727116,636.1885576048953,1733.9721885138558,2132.7837719059635,2414.7031638743124,3035.5332962948874,1952.5572213440864,693.3584831302732,776.380007172345,278.1573096252216,271.72612661867896,12175.080201856066,0.0,35.01658782850228,233.54414800629058,1319.5155518022414,1653.944722710835,1988.5184927439834,2765.0539180004466,1990.3069483764864,1018.6395611043272,880.8765160717094,202.10409924699897,87.55965596424672,bad
rsl-002849_bad_irr,rsl-002849,-13.649746478423122,-7.80810897051837,1464.4761136115667,0.0,174.69980777316286,112.42450207194149,193.89834039990635,903.72889306592,79.72457030063607,0.0,0.0,0.0,0.0,0.0,0.0,12067.258742892822,22.292103652450283,519.2082069473382,1155.3793451978274,1831.8949445036706,1874.6632432213512,2632.2138453826533,2878.020572310162,771.8266034830209,49.52478410119824,36.911138722054126,6.514209635142024,288.8097457359517,9586.281652400543,0.4881046239818522,103.8176243028458,798.4794331858466,1399.123152350855,1423.804355521149,2253.0001134762238,2582.836498997141,804.2257611897209,63.98125572318824,55.66002325617209,7.668779120585836,93.19655065283236,13362.198035669428,11.321371984759637,515.349663733623,1200.822429589794,1870.6369438560475,1911.8421188501877,2680.909397579281,2925.927306442885,1668.0389561103318,207.02176096304922,105.61803349162243,17.784660739398145,246.9253923284485,10799.354024676488,0.0,49.5086438895649,809.574021299382,1456.3478779368713,1471.7326451401343,2302.328763399648,2604.929697677339,1615.0824386112752,277.7396829398285,178.2109503567256,19.066452404812615,14.832851020906224,14070.769026293852,13.026161037858662,520.1648572568977,1205.7428793781316,1881.144259320782,1923.9283613014395,2700.182985808509,2945.9886206894785,2053.2777167923036,391.91926161564,167.78813420760375,25.98831257568739,241.6174763095196,11517.352721460606,0.0,51.29246910908501,814.4517746887847,1463.6492052169062,1480.645911561592,2318.579994492496,2622.928447968859,1929.160386578748,518.4613714516473,271.89868091042734,26.59615517694006,19.68832430512019,14747.19774960298,13.493761782484441,521.662562190604,1207.7572094442392,1884.8635233716586,1928.5469358241662,2707.43341666936,2953.5185577983116,2307.1839870982412,711.9651015026583,246.72740165559023,36.857732376128375,227.18755988953612,12252.333755835953,0.0,52.415412903321474,817.562565186168,1468.481576944291,1486.484460539158,2329.21674754263,2634.3828483526663,2083.994306322849,938.5656701738313,380.0560728194752,35.18582267069299,25.988272380867993,bad
rsl-003323_bad_irr,rsl-003323,-13.130987502812834,-8.317378718508326,4800.86020576679,0.0,31.342881652888547,134.1085985356199,644.764818373011,2348.5467991344153,1255.0222271556388,40.7861484050247,0.4579282885736798,15.198084266708777,244.7905182533547,85.75073869218075,0.09146300937359796,11227.17106897773,15.306512671064693,228.7255541981665,1117.384467309653,1456.9788296791492,1932.2884818801203,2363.80113244449,2573.6196733849697,325.0606980681211,282.66597327508117,620.877801215897,244.46817858994336,65.993766261075,9178.667035004508,0.4881046239818522,0.9906625357754023,629.7931353380919,1026.53841286194,1421.7490463086663,1927.9774833199408,2588.9431164043503,469.0369717248347,391.5229198579309,574.9433692347903,140.75228178641825,5.931531007789509,12620.861568948883,6.967941308413174,218.14018256735287,1142.4099157462695,1483.58708011565,1964.9411030319625,2403.185274061009,3045.5126285054052,793.1974865966775,421.4001118735053,776.4909985634458,291.6445346766863,73.3843119025067,10659.090018874766,0.0,0.0,585.140049604974,1081.5979617868609,1478.7248041603925,1982.3774522002025,2783.547540735822,1135.5285153314787,668.4204973567938,753.5333844385008,180.0336980106231,10.186115249116222,13547.666812944364,8.153720627500787,222.44896667873664,1146.949885441362,1491.646482220872,1977.3193735002003,2420.802527564873,3064.867241453065,1260.6196962414776,616.8608416730663,918.093567294698,330.7296129942888,89.17489725422361,11518.974880420808,0.0,0.0,590.6655237937065,1086.859226167587,1487.4241586887283,1996.2610151790839,2799.581802979388,1543.4727896431878,919.4633517307976,872.109734062542,209.07842435828275,14.058853817505527,14447.164774476545,8.486989848815503,223.72422584981481,1148.8183677969948,1494.8751852737557,1982.1666110903489,2427.5487548838933,3071.281315787921,1672.210401837343,880.0609957006199,1060.350558156156,367.3586380935367,110.28273015734707,12339.135437657269,0.0,0.0,594.182775528972,1090.354955804514,1493.0974995269553,2005.2856403353342,2809.9962691224537,1904.8731177357197,1205.0499253790401,982.2740029010648,235.46074388408996,18.56050743912496,bad
rsl-004350_bad_irr,rsl-004350,-15.083427623455409,-8.940760119886678,2437.3180121072946,0.0,31.342881652888547,224.24733298966373,817.5733380031933,609.0352681432619,352.1045773350879,168.2191202218616,4.112149534896956,4.00571800364031,101.23609553722947,124.77724514696098,0.6642855386097728,11089.119240512176,15.306512671064693,181.39605056382183,574.9598855260982,1685.6874803460134,2070.4912023608376,2640.7198968217476,2901.8025936940685,601.6252688244846,33.44306051757328,189.97334636711253,114.83436062518247,78.87958219417277,9038.891265032289,0.4881046239818522,0.0,99.65027534330086,1235.0842734259886,1592.0931226565947,2282.4536264193257,2716.305203617942,655.8072885238189,89.32279812792602,289.0896149674821,75.33182896494276,3.265128360984658,12559.797782589472,6.967941308413174,169.52411959239637,584.660125129038,1715.7712741425682,2103.705853892983,2692.4152782062497,3035.680907192538,1393.5507572561748,152.71837199501113,433.97646951117093,211.32792524511788,59.49875911780984,10533.446915539804,0.0,0.0,65.87245154583118,1281.3977151032022,1664.1649138355326,2341.835626628429,2757.0708144350174,1417.086126499588,313.34778517635255,551.669763978838,137.46425471859072,3.537463618421788,13415.112677197421,8.153720627500787,173.6755566640504,587.4771086591031,1724.6299170558696,2116.3323587513282,2709.9783929872196,3051.9060827157505,1796.9830866062864,303.0809454601617,611.3881676442572,267.46117079864797,64.0461692272457,11369.06066654422,0.0,0.0,68.08023648770444,1288.5387085347522,1672.9455147450597,2356.3395034297064,2772.298153237521,1769.6321957971295,538.4574573063451,717.0595255129256,177.86321876427465,7.84615272879797,14251.031096779232,8.486989848815503,174.88814141468313,588.620067903301,1728.1757147250264,2121.2848450096767,2716.766049258996,3057.9670643247687,2127.7941661343825,531.1931453775908,799.8682128611898,319.2748094239593,76.71189049684196,12169.19218120645,0.0,0.0,69.49389679929412,1293.170156878052,1678.6793799286804,2365.791741023684,2782.0886827303343,2000.993975022573,870.4165855436531,884.5181348184041,212.32804340106085,11.711585060713896,bad
rsl-004702_bad_irr,rsl-004702,-13.573677813290974,-7.431010309722245,2345.7614419181004,0.0,174.69980777316286,280.0622259554771,427.97078203293967,1320.102551312758,140.590289927228,0.0,0.0,0.0,0.0,2.3357849165351605,0.0,12315.5104851552,22.292103652450283,494.3917145855123,857.2201824123186,1825.3710873911098,2279.27744308979,2665.6186035086007,2851.7540841724167,865.3871968822326,93.78234152517393,48.37246344972335,21.283926426430117,290.7593380594422,9822.498834314269,0.4881046239818522,77.1775688893694,465.6006138281403,1381.1042723862777,1819.0012533497718,2293.50143683207,2563.4826199232434,898.2508231043442,121.59331377243097,99.57404720939223,23.647384499406996,79.07739589583754,13618.390656722268,11.321371984759637,489.13953963616433,878.3285043543557,1857.6818545059668,2313.724068559707,2711.9307771782355,2898.780509707347,1762.9895645878387,277.9636784333138,128.88070174548082,52.675652244778014,234.97443378432092,11092.740735130179,0.0,30.9808249451797,450.27540371305946,1437.9904700173959,1872.663127986164,2342.602376603643,2585.983969473322,1707.0042674981971,368.93853605357543,207.56306450166127,56.970413534323036,31.768280803657223,14340.17724568186,13.026161037858662,493.86349467114843,882.0273967762017,1867.7731629267462,2327.658142093627,2730.121206779058,2918.677558877412,2131.0506418775094,488.68152042479346,192.16091352030875,80.56436101999822,214.57268567719584,11832.72212511094,0.0,32.3402290437126,454.38522056362143,1445.0275422637335,1883.373985235957,2358.6046932309705,2603.634103191125,1984.2746841659198,647.5993911785187,297.99667126915205,81.61585945489757,43.86974551333204,15057.641721688262,13.493761782484441,495.3266076770003,883.5555023630718,1871.7578483758145,2333.0445304466884,2737.3008767500364,2926.131966682678,2333.229393042682,858.1106061299397,284.8323874335941,117.51601673375716,203.3422242705138,12602.948153920057,0.0,33.20273771413326,456.99001027852995,1449.6686959373137,1890.3629830431091,2368.9178965692226,2615.095907127968,2089.820144003628,1082.975003620082,440.6000364007734,117.50471056900021,57.81002865629404,bad
rsl-004703_bad_irr,rsl-004703,-14.95388905500258,-7.431010309722245,2345.7614419181004,0.0,174.69980777316286,280.0622259554771,427.97078203293967,1320.102551312758,140.590289927228,0.0,0.0,0.0,0.0,2.3357849165351605,0.0,12192.575892274284,22.292103652450283,494.3917145855123,857.2164020938994,1825.377508745981,2279.1840901131977,2665.1483263428686,2850.2245708670016,789.6384615809037,50.66927057284895,37.622609734151276,18.73389039397209,302.0769435914966,9705.618891824954,0.4881046239818522,77.1775688893694,465.60060535527214,1381.0695504425123,1818.9512611391438,2294.5055820815137,2564.12881888318,846.3920768386556,68.67335169812922,69.59713224365288,19.678225774271098,99.35661385527271,13427.109803555584,11.321371984759637,489.13953963616433,878.3285043543557,1857.6818545059668,2313.724068559707,2711.9307771782355,2898.780509707347,1672.1661778464447,202.646946903317,113.97597000264265,41.26272779632367,236.15135508032077,10923.516608804934,0.0,30.9808249451797,450.27540371305946,1437.9904700173959,1872.663127986164,2342.602376603643,2585.983969473322,1642.3610991113947,294.61927128875027,189.84872890732143,50.201856116597035,25.989480642106958,14155.406299934579,13.026161037858662,493.86349467114843,882.0273967762017,1867.7731629267462,2327.658142093627,2730.121206779058,2918.677558877412,2055.395375147926,393.93845333330836,174.85832904879908,65.09697922962523,232.97004001286723,11664.640296876341,0.0,32.3402290437126,454.38522056362143,1445.0275422637335,1883.373985235957,2358.6046932309705,2603.634103191125,1946.0919828822832,558.5375005953418,274.6734584289546,72.39835700222051,35.573224438420255,14828.885024485362,13.493761782484441,495.3266076770003,883.5555023630718,1871.7578483758145,2333.0445304466884,2737.3008767500364,2926.131966682678,2297.5355070599385,731.2531191120112,250.21259437630906,88.35730196047926,200.9154078988503,12427.22722913389,0.0,33.20273771413326,456.99001027852995,1449.6686959373137,1890.3629830431091,2368.9178965692226,2615.095907127968,2084.482712284562,982.7108859213213,390.0754146680674,101.9944502756914,53.725535313972195,bad
rsl-005163_bad_irr,rsl-005163,-11.825033676322231,-7.700094939713931,1123.3909030495363,0.0,0.6756925182098087,146.7157673604965,226.13401863201045,412.8425191331789,292.87309278932145,9.968828836753753,0.0,0.0,9.729361837281239,24.451621942284216,0.0,11530.721671507086,11.733379013805267,57.51379379375425,1058.207115551542,1517.681533637654,2256.173163001244,2668.4489704587154,2830.1561663925263,569.9671168988109,44.83825229332914,226.98396317475124,73.24768698352442,215.77053030742866,9185.317597862895,0.4881046239818522,0.0,470.88059264757226,1088.1495056031426,1819.3702001621484,2287.0179668506485,2537.958235238011,626.0326924176503,61.65953998604874,231.1785018439375,36.433950504520375,26.148307985233185,13003.530310189662,4.564368563742251,50.41276393263888,1070.3125863909868,1543.7752848418977,2289.2891928239183,2705.7032065006156,2912.731963152444,1439.0553691064986,170.87312910784104,483.583607610794,140.1616558274214,193.0671823308652,10590.392792614402,0.0,0.0,423.58245155161154,1136.874355221607,1878.079835749336,2334.3844269777096,2574.051745162184,1430.3022983600395,241.01137976966825,490.4839788977615,75.24137396563731,6.380946958848285,13866.749005149986,5.570230616128652,52.664853122565525,1075.6205023460655,1551.4012969998205,2302.6373870112498,2723.2879425543447,2932.1517012438867,1843.7653544131892,323.0618163064084,671.1171430790992,182.77561224403914,202.69516521319096,11382.76713175324,0.0,0.0,428.211967394355,1142.2272188092306,1888.4015456847683,2349.2894697297506,2590.960625414726,1776.3394232418993,436.9103584212933,657.4394632449463,101.61858316318997,11.36847664908097,14710.959344308474,5.841341524205535,53.33832889392486,1077.666718757222,1554.53319783198,2307.8356068384423,2730.0133331636803,2939.40804701162,2173.7466394526923,566.7267960298421,855.2169143823556,222.10178858667928,224.53063183583322,12168.041803684951,0.0,0.0,431.15910894472063,1145.7375295807071,1895.1174536385745,2358.89443750704,2601.9149660375238,2004.4656279567887,755.6801391644186,829.0855313950151,126.60325607622963,19.383753383932667,bad
