k,ID,log10_prob_irrigated,log10_prob_dryland,oxford-dryland_pg_yr1,oxford-dryland_pg_m07,oxford-dryland_pg_m08,oxford-dryland_pg_m09,oxford-dryland_pg_m10,oxford-dryland_pg_m11,oxford-dryland_pg_m12,oxford-dryland_pg_m01,oxford-dryland_pg_m02,oxford-dryland_pg_m03,oxford-dryland_pg_m04,oxford-dryland_pg_m05,oxford-dryland_pg_m06,eyrewell-irrigated_pg_yr1,eyrewell-irrigated_pg_m07,eyrewell-irrigated_pg_m08,eyrewell-irrigated_pg_m09,eyrewell-irrigated_pg_m10,eyrewell-irrigated_pg_m11,eyrewell-irrigated_pg_m12,eyrewell-irrigated_pg_m01,eyrewell-irrigated_pg_m02,eyrewell-irrigated_pg_m03,eyrewell-irrigated_pg_m04,eyrewell-irrigated_pg_m05,eyrewell-irrigated_pg_m06,oxford-irrigated_pg_yr1,oxford-irrigated_pg_m07,oxford-irrigated_pg_m08,oxford-irrigated_pg_m09,oxford-irrigated_pg_m10,oxford-irrigated_pg_m11,oxford-irrigated_pg_m12,oxford-irrigated_pg_m01,oxford-irrigated_pg_m02,oxford-irrigated_pg_m03,oxford-irrigated_pg_m04,oxford-irrigated_pg_m05,oxford-irrigated_pg_m06,eyrewell-store400_pg_yr1,eyrewell-store400_pg_m07,eyrewell-store400_pg_m08,eyrewell-store400_pg_m09,eyrewell-store400_pg_m10,eyrewell-store400_pg_m11,eyrewell-store400_pg_m12,eyrewell-store400_pg_m01,eyrewell-store400_pg_m02,eyrewell-store400_pg_m03,eyrewell-store400_pg_m04,eyrewell-store400_pg_m05,eyrewell-store400_pg_m06,oxford-store400_pg_yr1,oxford-store400_pg_m07,oxford-store400_pg_m08,oxford-store400_pg_m09,oxford-store400_pg_m10,oxford-store400_pg_m11,oxford-store400_pg_m12,oxford-store400_pg_m01,oxford-store400_pg_m02,oxford-store400_pg_m03,oxford-store400_pg_m04,oxford-store400_pg_m05,oxford-store400_pg_m06,eyrewell-store600_pg_yr1,eyrewell-store600_pg_m07,eyrewell-store600_pg_m08,eyrewell-store600_pg_m09,eyrewell-store600_pg_m10,eyrewell-store600_pg_m11,eyrewell-store600_pg_m12,eyrewell-store600_pg_m01,eyrewell-store600_pg_m02,eyrewell-store600_pg_m03,eyrewell-store600_pg_m04,eyrewell-store600_pg_m05,eyrewell-store600_pg_m06,oxford-store600_pg_yr1,oxford-store600_pg_m07,oxford-store600_pg_m08,oxford-store600_pg_m09,oxford-store600_pg_m10,oxford-store600_pg_m11,oxford-store600_pg_m12,oxford-store600_pg_m01,oxford-store600_pg_m02,oxford-store600_pg_m03,oxford-store600_pg_m04,oxford-store600_pg_m05,oxford-store600_pg_m06,eyrewell-store800_pg_yr1,eyrewell-store800_pg_m07,eyrewell-store800_pg_m08,eyrewell-store800_pg_m09,eyrewell-store800_pg_m10,eyrewell-store800_pg_m11,eyrewell-store800_pg_m12,eyrewell-store800_pg_m01,eyrewell-store800_pg_m02,eyrewell-store800_pg_m03,eyrewell-store800_pg_m04,eyrewell-store800_pg_m05,eyrewell-store800_pg_m06,oxford-store800_pg_yr1,oxford-store800_pg_m07,oxford-store800_pg_m08,oxford-store800_pg_m09,oxford-store800_pg_m10,oxford-store800_pg_m11,oxford-store800_pg_m12,oxford-store800_pg_m01,oxford-store800_pg_m02,oxford-store800_pg_m03,oxford-store800_pg_m04,oxford-store800_pg_m05,oxford-store800_pg_m06,irr_type
rsl-000297_bad_irr,rsl-000297,-12.981217457837896,-8.264518686541443,7490.790355714686,155,310,428.25384079994893,1426.27869868805,2497.1659369030617,1705.70213680582,144.26480755649217,96.99598355912019,197.7242801686109,131.99899856091562,247.40567267266587,150,13719.579720131675,310,465,1120.8158776622527,2015.6128970324082,2188.0206023458754,2116.0967128368948,1475.1980891044093,1046.809452658627,1049.5776125651462,1290.4888934131177,491.9595825129415,150,11440.219981312945,155,310,389.5602118341976,1369.8601890645612,1728.6381155585161,1820.9799398547366,1637.22795240296,1169.049742862247,1132.2516822716593,1192.7392855425069,384.91286192155985,150,15158.51460498549,310,465,1139.6599571640843,2050.197697605586,2217.9749550055135,2143.7081945593713,2176.410300080918,1282.4744699998357,1233.445797069058,1452.163433359343,537.4798001417804,150,12611.161993057562,155,310,323.47505169700787,1439.3562542322516,1786.6268318623606,1858.7280505530548,2166.1226328256284,1428.2621914130168,1289.59634272254,1294.3752822508288,409.6193555008729,150,15740.150944424839,310,465,1144.2957111632318,2061.1483232955843,2230.971432190965,2157.310216130448,2397.0812264581095,1475.1342638806238,1304.6973104721199,1494.0982315541733,550.4142292795807,150,12994.963756967483,155,310,328.79846209400534,1446.7743319641881,1796.3864249635888,1870.0910894366484,2248.113275248779,1573.4162069761423,1367.5250080060541,1329.8272461335216,419.0317121445571,150,16193.242365281463,310,465,1146.231332136922,2065.5656893375312,2236.004826528937,2162.4971191061572,2462.280331583476,1694.939811113972,1406.4837358112836,1533.727904360618,560.5116153025657,150,13200.551785573442,155,310,332.19490482047456,1451.6215457410701,1802.7426920714272,1877.4613274530861,2262.644004969801,1649.5056885038557,1431.221701608349,1353.6706201914976,424.489300213882,150,bad
rsl-000309_bad_irr,rsl-000309,-11.485107212970266,-6.972528424329739,4079.7863665176137,155,310,278.88640251140004,955.8774017922524,1596.291099062044,517.3853721199674,19.62450368654929,0.0,0.0,28.176448741896177,68.5451386035043,150,9526.380586058032,310,465,1125.6865571839849,2009.7762701977813,2238.8950309409956,2144.9091884500067,961.5442103893316,64.17283839601878,4.283823603458654,26.038445511234716,26.07422138522094,150,7444.095093707545,155,310,373.6594558679498,1402.4228792147305,1769.5491500843316,1852.5194021449902,1198.5692055404295,110.63569765490611,29.27702721482087,73.14617682735654,19.316099158029918,150,10510.214671372178,310,465,1144.2985380460009,2043.8714667634977,2270.8834256456717,2173.880608625747,1739.6193555007794,114.74878586040471,11.066340606054952,51.01183637910551,35.834313944916204,150,8409.186090868532,155,310,304.7997620791282,1472.0648017666308,1833.3625549418946,1893.9712024906073,1903.5956749555583,193.18642912551812,44.38831379802914,117.02399205731074,31.79335965385427,150,10997.65605666907,310,465,1148.9492755881042,2054.80223950199,2284.381282561079,2188.0796003614737,2092.550814778612,170.6045184357306,13.122994633332898,73.61369151657051,46.551639292175764,150,8881.6768124762,155,310,310.21761194607944,1479.6364998900192,1843.3236701181634,1905.8709976459756,2142.103151373149,335.8417531377863,57.4431280229887,145.85210511324456,46.38789522879364,150,11440.008084038116,310,465,1150.888881362364,2059.195368117099,2289.6116670657098,2193.476869581308,2355.6026588494688,294.1611671136714,18.75111442331985,89.25001448196944,64.0703430432046,150,9387.520745688951,155,310,313.6424105536844,1484.6310649096936,1849.8550102671034,1913.581863634422,2249.9878115192682,613.8194396196759,81.01770455954939,199.40123475358902,66.58420587196379,150,bad
rsl-000951_bad_irr,rsl-000951,-12.49638189368532,-6.65474438578057,3304.985881342458,155,310,278.88640251140004,318.3278682724422,1289.0215351423728,494.3018882735457,270.09389930160836,5.091634687923767,0.3051838944644446,15.885022172660236,18.072447086040736,150,10909.622202310335,310,465,1124.0667417155194,2072.5873566371256,2187.0051673985104,2134.0778099415797,2076.91167273762,332.9944199695392,22.84797797311104,22.9747611626991,11.15629477462995,150,8658.128307007693,155,310,373.86384852699223,1467.499630385355,1748.243327409019,1846.4137130584104,2003.5350629505692,422.0299373877365,69.07021290277771,70.66872114697104,41.80385323986287,150,11896.873541754638,310,465,1142.6423383064468,2107.4413311262965,2266.8944184176344,2173.5815775511005,2311.5510303808132,835.5910850447195,56.01530026124341,53.66946478207304,24.486995884311238,150,9722.591792220239,155,310,305.0779656777421,1537.9184991206403,1830.078392958536,1892.291660244121,2095.1617982965877,1008.0575036349112,192.63974334604416,165.55330743944276,80.81292150221326,150,12400.915568220615,310,465,1147.2926048130862,2118.6834267242616,2280.3923652489316,2187.811260077574,2325.8981296706033,1168.2934803305761,125.43711720751787,88.39502358178605,33.712160566277625,150,10306.8309837899,155,310,310.492835927895,1545.6861735887976,1840.0768262490535,1904.215469183191,2108.0258154541775,1312.7781199579367,327.9150349944256,235.33999071234348,107.30071772207991,150,12923.94324354546,310,465,1149.2284520892777,2123.195773235626,2285.6650736627257,2193.277248942982,2331.31579264154,1474.017490920234,254.78334898412356,137.73165008814817,49.728412980802744,150,10899.613438579068,155,310,313.91796142879247,1550.7915539591913,1846.664125372027,1911.924513329327,2116.37645581855,1570.7974786142122,522.531836317605,318.1879837566155,133.42152998275023,150,bad
rsl-002115_bad_irr,rsl-002115,-12.46422637645518,-7.622588868550429,4140.3763288725,155,310,428.25384079994893,1238.8139872107665,702.9264600501565,286.9590799912876,135.45252520445365,90.63907057389976,139.3771091719884,393.4267543197823,109.527501550217,150,14646.299585848225,310,465,1120.4399745452597,2021.3414934325851,2264.4156641674613,2140.9125783552236,2342.3663080848773,1097.0595436615142,1250.576690304648,1220.2685470126235,263.9187862840312,150,12064.064418601878,155,310,393.1018181237805,1419.7014811288318,1837.8836539062424,1848.978619030242,2179.5669611211156,1311.2799042584434,1284.9672676105415,1035.8150145248794,137.7696988978012,150,15963.337286441349,310,465,1139.1906157715837,2055.4322040412058,2299.7430717782827,2169.9025852840527,2428.5085276264767,1740.8010977632202,1541.0162792161702,1364.8283608251786,298.91454413517835,150,12950.16811730342,155,310,326.6364780797172,1489.5928798791422,1904.8082464163356,1889.9025143839249,2209.378092659028,1758.65236251817,1490.237882375916,1113.6661783756913,152.29348261549322,150,16389.78767841832,310,465,1143.8316164165037,2066.382318644023,2313.4391701509685,2184.0779889468304,2441.73026574602,1933.2696161287834,1664.9799732675046,1407.2381578655113,309.83857125217514,150,13178.995118289477,155,310,331.9735534038721,1497.2274543302888,1915.173633000215,1901.747035708527,2221.682113603751,1841.9196742628299,1563.5740384369064,1134.1876918685896,156.5099236744962,150,16560.809200471365,310,465,1145.7787470565631,2070.8306083262996,2318.7984109845843,2189.5411564957135,2446.624950089361,1996.7527055318924,1733.077065334395,1421.0591689347393,313.3463877178185,150,13256.612344293415,155,310,335.3855521619928,1502.2122651584525,1921.9750991722015,1909.4490224870858,2229.6226048853305,1858.25023915764,1585.4236508444612,1141.2791748965249,158.01473552972536,150,bad
rsl-003212_bad_irr,rsl-003212,-13.178370200187091,-8.290975201721665,6695.620745514241,155,310,428.25384079994893,1426.27869868805,1987.0962285266312,1490.9554618721836,409.69378751706455,7.380308521644178,0.0,93.48061726168261,237.48180232703604,150,11338.904068472042,310,465,1120.8197433027383,2023.2255165664587,2230.91743895996,2118.040170705296,2042.7311474501312,537.3216071954231,51.96641887796456,171.5001125463366,117.38191286773373,150,8595.346243282213,155,310,389.55943605648446,1377.535437217611,1760.5183571179798,1818.6560259560076,1796.5981470696743,553.0795699462026,62.16359698012422,155.56473566674944,66.67093727137969,150,12674.118532951905,310,465,1139.6599571640843,2058.187701465462,2262.5975872182153,2146.3115541075326,2089.6176750804425,1232.8704234838035,182.53565755549218,416.34964613055877,220.9883307463134,150,9858.24348525925,155,310,323.47505169700787,1447.9622609172438,1823.2305215845372,1857.9951201143556,1832.1106776100733,1188.4818579778178,226.43927038104061,407.0636156250924,136.48510935208245,150,13424.173785445288,310,465,1144.2957111632318,2069.21746383203,2275.9707709892914,2160.054749478573,2104.4808350587823,1554.704229229797,324.0148297777796,588.1946076103048,278.2405883054966,150,10554.535167909744,155,310,328.79846209400534,1455.421123227377,1833.1296431464962,1869.4396708114245,1844.7685742461906,1462.072091298584,407.3089011721004,562.4604350898818,176.1362668236851,150,14139.575425822588,310,465,1146.231332136922,2073.666033697749,2281.151010674316,2165.3054775113906,2110.1067722532434,1792.7606779157632,547.2182091927477,771.4470419294189,326.6888705110374,150,11230.352795736806,155,310,332.19490482047456,1460.2975188047012,1839.5997880960233,1876.8650599635819,1852.9206525777086,1631.715170344988,679.5339453780343,729.5901709485594,212.635584802735,150,bad
rsl-003905_bad_irr,rsl-003905,-11.516999709626475,-6.703390925321967,5770.0143558745385,155,310,428.25384079994893,1426.27869868805,1987.0962285266312,531.4332427303439,22.12869623908323,43.43166908515573,149.50900730250785,351.72705309896054,215.15591940385602,150,14909.452353222177,310,465,1120.8194957430549,2023.212282800812,2235.88769668523,2140.7631956027694,2253.4234451263333,1325.083772348377,1217.0057407870097,1259.0292208867556,409.2275032418374,150,12161.832693759878,155,310,389.5616902556428,1377.550487763915,1764.0452402212495,1852.3925545978436,2183.280374965397,1426.6513511851294,1244.952233633762,1061.5584836777616,246.84027745917396,150,15967.518217380615,310,465,1139.6599571640843,2058.187701465462,2267.935054496825,2171.69696675685,2447.6018889964107,1726.0454124188313,1439.812630132236,1358.5945796250899,432.98402632482635,150,12840.812978300544,155,310,323.47505169700787,1447.9622609172438,1828.0348988110452,1893.4470495295159,2243.31972705374,1640.6955240293262,1463.2605131518249,1127.5854078687262,258.0325452421134,150,16325.462758867498,310,465,1144.2957111632318,2069.21746383203,2281.4013526673075,2185.8605516638054,2461.82402292617,1819.0992387435754,1589.7246584600114,1405.817663456556,443.2220959548103,150,13011.545619287404,155,310,328.79846209400534,1455.421123227377,1837.9692179811664,1905.3109053662174,2256.4338398289897,1664.4713419423836,1533.9505505125499,1151.3814803799175,262.80869795479845,150,16502.5320391345,310,465,1146.231332136922,2073.666033697749,2286.6176254349316,2191.2920899221626,2467.119450496309,1842.2905863972537,1688.9544294049065,1432.9829935272867,448.3774981169813,150,13099.727989453058,155,310,332.19490482047456,1460.2975188047012,1844.457931403341,1912.9774772175083,2264.843934135187,1672.0604251921168,1568.5887499325474,1163.7528178240354,265.55423012314674,150,bad
rsl-004763_bad_irr,rsl-004763,-12.227696910272108,-6.334906879919977,4581.654664886014,155,310,428.25384079994893,1238.8139872107665,702.9264600501565,286.9590799912876,232.66412247860723,155.0482989596726,222.37812463981055,433.00139429924883,266.6093564565151,150,15580.444480824457,310,465,1120.5525814952796,2021.4092753512227,2221.4998657154088,2137.326812908805,2063.888526969386,1611.5058656952117,1596.4211034137159,1404.9297076938176,477.91074158160956,150,12538.283586016305,155,310,393.2271233117484,1419.6370551194339,1821.6973236838778,1848.2878765090675,1995.6122810470606,1547.0034916913285,1443.9188688951017,1153.110258412813,300.7893073458734,150,16312.068885471692,310,465,1139.1906157715837,2055.4322040412058,2299.7430717782827,2172.409129692785,2312.231151741986,1806.9928045081933,1672.7415913004581,1439.5370590618902,488.79125757530574,150,12904.081233408888,155,310,326.6364780797172,1489.5928798791422,1904.8082464163356,1892.105983200618,2093.5684421576275,1651.6576196285525,1469.4577026349775,1159.5824757642629,301.67140564765253,150,16438.32524293935,310,465,1143.8316164165037,2066.382318644023,2313.4391701509685,2186.6654116820005,2326.4250605624925,1843.6525324238803,1691.554900534837,1449.143106789379,492.2311257352648,150,12986.104278051538,155,310,331.9735534038721,1497.2274543302888,1915.173633000215,1903.9921945296492,2106.4642625488937,1664.5170785594983,1479.8980911871345,1167.6238323282075,304.23417816378105,150,16474.585523342223,310,465,1145.7787470565631,2070.8306083262996,2318.7984109845843,2192.161752616048,2331.8585573976734,1849.3303295856826,1695.2576425807656,1452.2111378378456,493.3583369567603,150,13037.294487937754,155,310,335.3855521619928,1502.2122651584525,1921.9750991722015,1911.719608654696,2114.8451528465107,1671.3523837035927,1486.1621737783018,1172.7614787423297,305.8807737196775,150,bad
rsl-004919_bad_irr,rsl-004919,-14.219757662176205,-6.99790891255985,6656.7358244381,155,310,390.99438877334023,1195.4129031163466,1600.8852979018964,1481.1484879531934,550.1252380757481,212.79426426066826,11.25818682972087,279.0098479902376,320.10720953694903,150,13175.007365352349,310,465,1118.3078282272186,2018.9673538401091,2236.7686208098053,2102.216972687267,2248.1145177415156,1144.9709037871223,463.7960324492337,645.1527457722328,271.71239003784376,150,10676.229372379614,155,310,378.72394904045757,1412.2797263998539,1767.8677802132477,1814.2748783799207,2063.9800765852865,1233.4747013484293,587.766123151591,622.7739812550526,180.08815600577654,150,14517.689044958235,310,465,1138.2966134978199,2054.642276841551,2269.6638573520463,2150.912378387314,2309.4006854599534,1685.3296676879065,788.059223738344,859.3573883979394,337.0269535953593,150,11835.298609322132,155,310,312.2721316538926,1482.2182588626765,1831.9433342125274,1860.5355455804981,2093.4589581621635,1609.6960357078142,966.3582552583171,835.5455530759388,228.2705368083025,150,15184.674557135753,310,465,1143.0669127512153,2065.665097880162,2283.091632086322,2164.5844607828217,2324.3735838591256,1811.8135709207436,1085.492424204319,1008.8891638718337,372.69771077921047,150,12357.16802019047,155,310,317.626831474244,1489.8163526126077,1841.8879032808698,1871.931770706993,2106.29791400042,1664.9952002651496,1225.6968625091313,970.2714540846922,253.6437312563622,150,15748.293015883384,310,465,1145.041457311653,2070.0922175470387,2288.2976313912527,2169.798311849138,2329.756242784145,1850.1649517838564,1392.5380711889613,1173.394384267692,404.2097477596473,150,12735.126808439807,155,310,321.00824706743924,1494.8166861230416,1848.3664565374347,1879.3453022313665,2114.614958275573,1679.0353411428853,1420.7899998582343,1091.578110359255,270.5717068445777,150,bad
rsl-005317_bad_irr,rsl-005317,-14.497628325847048,-8.053930826614334,6670.347606593035,155,310,428.25384079994893,1238.8139872107665,2329.3092274376813,869.51174357639,1110.8634117731613,46.7343557737405,0.0,9.160648967727065,22.70039105362034,150,11258.004926124871,310,465,1120.4399745452597,2007.783549982888,2194.380132486067,2044.7015716228566,2303.3495573419236,644.3157101416542,13.964573026239348,2.573168576733307,1.49668840124923,150,8793.688327214843,155,310,393.1018181237805,1404.0192640675248,1735.449090649732,1808.8680758521743,2124.481250203573,662.7964873318365,21.814858569602553,21.833263366589012,6.324219050029909,150,12321.868471884594,310,465,1139.1906157715837,2041.5165200723125,2224.7452391177226,2162.19871670243,2354.0908027115443,1312.9067284406747,94.50266179129198,51.14824251578005,16.568944761254517,150,9786.678700001501,155,310,326.6364780797172,1473.0752200197912,1794.9209812993347,1883.2997381454782,2124.447672448075,1297.1075519489634,134.10602479122065,110.90627097716849,27.17876229175069,150,12862.923597235582,310,465,1143.8316164165037,2052.354935378217,2237.8299471083587,2176.3444039164683,2366.4583994737895,1615.2735773702814,212.13265960728666,98.71686177661415,34.98119618806226,150,10342.36359234861,155,310,331.9735534038721,1480.621756419425,1804.7415224385077,1894.9552536086587,2135.8862859911374,1570.6908648490505,276.18083677939615,188.19607014429494,44.11744871426902,150,13399.631549160196,310,465,1145.7787470565631,2056.7479424290223,2242.897828124312,2181.7113301534837,2371.051042297973,1845.335977360913,406.4147639945944,172.76532281657896,51.92859492675577,150,10923.956177953662,155,310,335.3855521619928,1485.548668674946,1811.133755438054,1902.568807089028,2143.243419271253,1754.3437322995303,519.4147689583897,291.82326092638624,65.49421313408209,150,bad
rsl-005318_bad_irr,rsl-005318,-11.974749580566709,-8.053930826614334,6670.347606593035,155,310,428.25384079994893,1238.8139872107665,2329.3092274376813,869.51174357639,1110.8634117731613,46.7343557737405,0.0,9.160648967727065,22.70039105362034,150,11274.796446545113,310,465,1120.4372714457336,2007.5860206695872,2194.310125412855,2133.3795433946593,2257.9494641480483,592.3145144591107,21.12252677123544,16.833239391126565,5.863740852757679,150,8827.140950664116,155,310,393.098797441185,1403.912601171539,1735.3571383037745,1841.485898881521,2103.8455695500047,630.6205492362951,34.6038243641722,56.289076638437905,12.927495077187224,150,12231.404676851284,310,465,1139.1906157715837,2041.5165200723125,2224.7452391177226,2162.280497863785,2352.820642232054,1193.8128252657202,103.31501418720543,67.73596143271597,20.98736090818451,150,9794.688592627546,155,310,326.6364780797172,1473.0752200197912,1794.9209812993347,1883.2254048574678,2124.5167430549463,1237.8802727202872,166.05971369461616,143.59146367817291,29.782315223212006,150,12789.929399777027,310,465,1143.8316164165037,2052.354935378217,2237.8299471083587,2176.3444039164683,2366.4623314474393,1501.0297975945996,230.43237516902752,123.839299120402,32.80469362601141,150,10358.953218135695,155,310,331.9735534038721,1480.621756419425,1804.7415224385077,1894.9552536086587,2135.8862859911374,1516.9682337126214,322.3327014388873,210.05653362852559,46.41737749405892,150,13332.519573655398,310,465,1145.7787470565631,2056.7479424290223,2242.897828124312,2181.7113301534837,2371.051042297973,1751.7714289823518,420.9764770598274,188.47643333009364,48.1083442217711,150,10916.729759893567,155,310,335.3855521619928,1485.548668674946,1811.133755438054,1902.568807089028,2143.243419271253,1711.8388231863862,545.928639698095,301.14309437642635,64.93899999738676,150,bad
