k,ID,log10_prob_irrigated,log10_prob_dryland,oxford-dryland_pg_yr1,oxford-dryland_pg_m07,oxford-dryland_pg_m08,oxford-dryland_pg_m09,oxford-dryland_pg_m10,oxford-dryland_pg_m11,oxford-dryland_pg_m12,oxford-dryland_pg_m01,oxford-dryland_pg_m02,oxford-dryland_pg_m03,oxford-dryland_pg_m04,oxford-dryland_pg_m05,oxford-dryland_pg_m06,eyrewell-irrigated_pg_yr1,eyrewell-irrigated_pg_m07,eyrewell-irrigated_pg_m08,eyrewell-irrigated_pg_m09,eyrewell-irrigated_pg_m10,eyrewell-irrigated_pg_m11,eyrewell-irrigated_pg_m12,eyrewell-irrigated_pg_m01,eyrewell-irrigated_pg_m02,eyrewell-irrigated_pg_m03,eyrewell-irrigated_pg_m04,eyrewell-irrigated_pg_m05,eyrewell-irrigated_pg_m06,oxford-irrigated_pg_yr1,oxford-irrigated_pg_m07,oxford-irrigated_pg_m08,oxford-irrigated_pg_m09,oxford-irrigated_pg_m10,oxford-irrigated_pg_m11,oxford-irrigated_pg_m12,oxford-irrigated_pg_m01,oxford-irrigated_pg_m02,oxford-irrigated_pg_m03,oxford-irrigated_pg_m04,oxford-irrigated_pg_m05,oxford-irrigated_pg_m06,eyrewell-store400_pg_yr1,eyrewell-store400_pg_m07,eyrewell-store400_pg_m08,eyrewell-store400_pg_m09,eyrewell-store400_pg_m10,eyrewell-store400_pg_m11,eyrewell-store400_pg_m12,eyrewell-store400_pg_m01,eyrewell-store400_pg_m02,eyrewell-store400_pg_m03,eyrewell-store400_pg_m04,eyrewell-store400_pg_m05,eyrewell-store400_pg_m06,oxford-store400_pg_yr1,oxford-store400_pg_m07,oxford-store400_pg_m08,oxford-store400_pg_m09,oxford-store400_pg_m10,oxford-store400_pg_m11,oxford-store400_pg_m12,oxford-store400_pg_m01,oxford-store400_pg_m02,oxford-store400_pg_m03,oxford-store400_pg_m04,oxford-store400_pg_m05,oxford-store400_pg_m06,eyrewell-store600_pg_yr1,eyrewell-store600_pg_m07,eyrewell-store600_pg_m08,eyrewell-store600_pg_m09,eyrewell-store600_pg_m10,eyrewell-store600_pg_m11,eyrewell-store600_pg_m12,eyrewell-store600_pg_m01,eyrewell-store600_pg_m02,eyrewell-store600_pg_m03,eyrewell-store600_pg_m04,eyrewell-store600_pg_m05,eyrewell-store600_pg_m06,oxford-store600_pg_yr1,oxford-store600_pg_m07,oxford-store600_pg_m08,oxford-store600_pg_m09,oxford-store600_pg_m10,oxford-store600_pg_m11,oxford-store600_pg_m12,oxford-store600_pg_m01,oxford-store600_pg_m02,oxford-store600_pg_m03,oxford-store600_pg_m04,oxford-store600_pg_m05,oxford-store600_pg_m06,eyrewell-store800_pg_yr1,eyrewell-store800_pg_m07,eyrewell-store800_pg_m08,eyrewell-store800_pg_m09,eyrewell-store800_pg_m10,eyrewell-store800_pg_m11,eyrewell-store800_pg_m12,eyrewell-store800_pg_m01,eyrewell-store800_pg_m02,eyrewell-store800_pg_m03,eyrewell-store800_pg_m04,eyrewell-store800_pg_m05,eyrewell-store800_pg_m06,oxford-store800_pg_yr1,oxford-store800_pg_m07,oxford-store800_pg_m08,oxford-store800_pg_m09,oxford-store800_pg_m10,oxford-store800_pg_m11,oxford-store800_pg_m12,oxford-store800_pg_m01,oxford-store800_pg_m02,oxford-store800_pg_m03,oxford-store800_pg_m04,oxford-store800_pg_m05,oxford-store800_pg_m06,irr_type
rsl-000297_bad_irr,rsl-000297,-12.981217457837896,-8.264518686541443,6941.618703046933,0.0,26.26638838203157,305.8956005713921,1018.770499062893,2497.1659369030617,2132.127671007275,180.3310094456152,121.24497944890022,247.1553502107636,131.99899856091562,247.40567267266587,33.2565967814187,13885.431048072245,15.787224838096805,218.62073149982348,800.582769758752,1439.7234978802917,2188.0206023458754,2645.1208910461182,1843.9976113805114,1308.5118158232835,1311.9720157064326,1290.4888934131177,491.9595825129415,330.64541186700086,11878.155974106992,0.4881046239818522,0.8615452565525157,278.25729416728404,978.4715636175437,1728.6381155585161,2276.2249248184207,2046.5349405036998,1461.3121785778087,1415.314602839574,1192.7392855425069,384.91286192155985,114.40055667954368,15618.27847463388,7.030010716627797,207.81976895099342,814.0428265457746,1464.426926861133,2217.9749550055135,2679.635243199214,2720.5128751011475,1603.0930874997946,1541.8072463363224,1452.163433359343,537.4798001417804,372.2923009162345,13309.799769563864,0.0,0.0,231.05360835500562,1028.111610165894,1786.6268318623606,2323.4100631913184,2707.653291032035,1785.327739266271,1611.9954284031749,1294.3752822508288,409.6193555008729,131.6265595361044,16339.090091291495,8.181504095801126,212.12411420748685,817.3540794023085,1472.2488023539888,2230.971432190965,2696.6377701630604,2996.351533072637,1843.9178298507798,1630.8716380901496,1494.0982315541733,550.4142292795807,385.918927030564,13776.269953626803,0.0,0.0,234.85604435286098,1033.4102371172773,1796.3864249635888,2337.6138617958104,2810.141594060973,1966.7702587201777,1709.4062600075674,1329.8272461335216,419.0317121445571,138.82631433046956,16900.83122024142,8.517911809416676,213.38120365624346,818.7366658120872,1475.4040638125225,2236.004826528937,2703.121398882696,3077.8504144793446,2118.674763892465,1758.1046697641043,1533.727904360618,560.5116153025657,396.79578194041943,14023.809159457749,0.0,0.0,237.28207487176755,1036.872532672193,1802.7426920714272,2346.8266593163576,2828.3050062122506,2061.8821106298196,1789.027127010436,1353.6706201914976,424.489300213882,142.71103626811873,bad
rsl-000309_bad_irr,rsl-000309,-11.485107212970266,-6.972528424329739,3272.5155654788023,0.0,26.26638838203157,199.20457322242862,682.7695727087518,1596.291099062044,646.7317151499593,24.53062960818661,0.0,0.0,28.176448741896177,68.5451386035043,0.0,8730.963577721457,15.787224838096805,213.81981493096518,804.0618265599892,1435.554478712701,2238.8950309409956,2681.1364855625084,1201.9302629866645,80.21604799502347,5.354779504323317,26.038445511234716,26.07422138522094,2.094958793733085,7120.448123114504,0.4881046239818522,0.5666873820989338,266.89961133424987,1001.7306280105219,1769.5491500843316,2315.6492526812376,1498.2115069255367,138.29462206863263,36.596284018526084,73.14617682735654,19.316099158029918,0.0,9895.33014542195,7.030010716627797,202.96065792441348,817.3560986042863,1459.9081905453556,2270.8834256456717,2717.3507607821834,2174.5241943759743,143.43598232550588,13.83292575756869,51.01183637910551,35.834313944916204,1.2017484203407771,8295.295906290743,0.0,0.0,217.71411577080585,1051.4748584047363,1833.3625549418946,2367.464003113259,2379.4945936944478,241.48303640689764,55.48539224753642,117.02399205731074,31.79335965385427,0.0,10490.167103299158,8.181504095801126,207.25628669214447,820.6780539915031,1467.7158853585643,2284.381282561079,2735.0995004518422,2615.688518473265,213.25564804466322,16.40374329166612,73.61369151657051,46.551639292175764,1.3413495298831648,8865.604680925147,0.0,0.0,221.5840085329139,1056.8832142071567,1843.3236701181634,2382.3387470574694,2677.6289392164363,419.80219142223285,71.80391002873587,145.85210511324456,46.38789522879364,0.0,11031.821375548036,8.517911809416676,208.50935485934096,822.0634866874028,1470.8538343693565,2289.6116670657098,2741.846086976635,2944.5033235618357,367.70145889208925,23.438893029149813,89.25001448196944,64.0703430432046,1.4550007719253053,9473.330028961214,0.0,0.0,224.03029325263174,1060.4507606497812,1849.8550102671034,2391.9773295430273,2812.484764399085,767.2742995245949,101.27213069943673,199.40123475358902,66.58420587196379,0.0,bad
rsl-000951_bad_irr,rsl-000951,-12.49638189368532,-6.65474438578057,2738.067772468492,0.0,26.26638838203157,199.20457322242862,227.37704876603013,1289.0215351423728,617.8773603419321,337.6173741270104,6.364543359904708,0.38147986808055573,15.885022172660236,18.072447086040736,0.0,10472.923544596122,15.787224838096805,213.81981493096518,802.9048155110853,1480.4195404550899,2187.0051673985104,2667.5972624269743,2596.1395909220246,416.24302496192394,28.559972466388796,22.9747611626991,11.15629477462995,30.316074747734657,8609.199770961066,0.4881046239818522,0.5666873820989338,267.04560609070876,1048.214021703825,1748.243327409019,2308.0171413230128,2504.4188286882113,527.5374217346706,86.33776612847214,70.66872114697104,41.80385323986287,5.8582914902321335,11623.506959553026,7.030010716627797,202.96065792441348,816.1730987903192,1505.3152365187832,2266.8944184176344,2716.9769719388755,2889.4387879760166,1044.4888563058994,70.01912532655426,53.66946478207304,24.486995884311238,26.05333497151695,9879.057178248235,0.0,0.0,217.91283262695865,1098.5132136576003,1830.078392958536,2365.364575305151,2618.9522478707345,1260.071879543639,240.7996791825552,165.55330743944276,80.81292150221326,0.9981281614032413,12235.085853305121,8.181504095801126,207.25628669214447,819.4947177236331,1513.3453048030442,2280.3923652489316,2734.764075096967,2907.372662088254,1460.3668504132202,156.79639650939734,88.39502358178605,33.712160566277625,25.00850648566472,10576.26414164881,0.0,0.0,221.78059709135357,1104.0615525634269,1840.0768262490535,2380.269336478989,2635.032269317722,1640.9726499474207,409.89379374303195,235.33999071234348,107.30071772207991,1.5364078233879042,12865.629516344954,8.517911809416676,208.50935485934096,820.8774657780556,1516.5684094540186,2285.6650736627257,2741.5965611787274,2914.1447408019253,1842.5218636502923,318.4791862301544,137.73165008814817,49.728412980802744,21.288885851349082,11284.799143905311,0.0,0.0,224.22711530628035,1107.7082528279939,1846.664125372027,2389.9056416616586,2645.4705697731874,1963.496848267765,653.1647953970062,318.1879837566155,133.42152998275023,2.5522815600276227,bad
rsl-002115_bad_irr,rsl-002115,-12.46422637645518,-7.622588868550429,3266.532155553494,0.0,26.26638838203157,305.8956005713921,884.8671337219762,702.9264600501565,358.6988499891095,169.31565650556706,113.2988382173747,174.2213864649855,393.4267543197823,109.527501550217,28.087585780901133,15104.28631836884,15.787224838096805,218.62073149982348,800.3142675323285,1443.8153524518466,2264.4156641674613,2676.140722944029,2927.9578851060965,1371.3244295768927,1563.22086288081,1220.2685470126235,263.9187862840312,338.5018440748006,12681.696674803035,0.4881046239818522,0.8615452565525157,280.78701294555754,1014.0724865205942,1837.8836539062424,2311.2232737878026,2724.458701401394,1639.099880323054,1606.2090845131768,1035.8150145248794,137.7696988978012,93.0282181019971,16689.860383841955,7.030010716627797,207.81976895099342,813.7075826939885,1468.165860029433,2299.7430717782827,2712.378231605066,3035.635659533096,2176.0013722040253,1926.2703490202127,1364.8283608251786,298.91454413517835,379.36557234987157,13761.55958451652,0.0,0.0,233.31177005694087,1063.9949141993873,1904.8082464163356,2362.378142979906,2761.722615823785,2198.3154531477126,1862.7973529698947,1113.6661783756913,152.29348261549322,108.27142793137664,17215.604623845917,8.181504095801126,212.12411420748685,817.0225831546455,1475.9873704600166,2313.4391701509685,2730.097486183538,3052.162832182525,2416.587020160979,2081.2249665843806,1407.2381578655113,309.83857125217514,391.7008475478897,14036.632321759505,0.0,0.0,237.1239667170515,1069.448181664492,1915.173633000215,2377.1837946356586,2777.1026420046887,2302.399592828537,1954.4675480461328,1134.1876918685896,156.5099236744962,113.03534731964402,17425.475596056967,8.517911809416676,213.38120365624346,818.413390754688,1479.1647202330712,2318.7984109845843,2736.926445619642,3058.281187611701,2495.9408819148653,2166.3463316679936,1421.0591689347393,313.3463877178185,395.2995551522053,14127.014467859162,0.0,0.0,239.5611086871377,1073.0087608274662,1921.9750991722015,2386.811278108857,2787.028256106663,2322.81279894705,1981.7795635555765,1141.2791748965249,158.01473552972536,114.74369202796083,bad
rsl-003212_bad_irr,rsl-003212,-13.178370200187091,-8.290975201721665,6069.156007220235,0.0,26.26638838203157,305.8956005713921,1018.770499062893,1987.0962285266312,1863.6943273402294,512.1172343963307,9.225385652055222,0.0,93.48061726168261,237.48180232703604,15.127923699951452,11153.566524006485,15.787224838096805,218.62008557529035,800.5855309305274,1445.1610832617564,2230.91743895996,2647.55021338162,2553.413934312664,671.6520089942788,64.95802359745569,171.5001125463366,117.38191286773373,216.0389547407643,8566.286865800199,0.4881046239818522,0.8615452565525157,278.2567400403461,983.953883726865,1760.5183571179798,2273.3200324450095,2245.7476838370926,691.3494624327532,77.70449622515527,155.56473566674944,66.67093727137969,31.850887156334768,12676.055514320677,7.030010716627797,207.81976895099342,814.0428265457746,1470.13407247533,2262.5975872182153,2682.8894426344154,2612.022093850553,1541.0880293547543,228.1695719443652,416.34964613055877,220.9883307463134,212.92413375277553,10031.736414236888,0.0,0.0,231.05360835500562,1034.2587577980314,1823.2305215845372,2322.4939001429443,2290.1383470125916,1485.6023224722721,283.04908797630077,407.0636156250924,136.48510935208245,18.36114391802981,13564.413519406811,8.181504095801126,212.12411420748685,817.3540794023085,1478.0124741657357,2275.9707709892914,2700.0684368482157,2630.6010438234775,1943.380286537246,405.0185372222245,588.1946076103048,278.2405883054966,227.26707619922385,10856.378151721741,0.0,0.0,234.85604435286098,1039.5865165909836,1833.1296431464962,2336.7995885142805,2305.960717807738,1827.5901141232298,509.1361264651254,562.4604350898818,176.1362668236851,30.722698807457864,14427.31871421578,8.517911809416676,213.38120365624346,818.7366658120872,1481.1900240698208,2281.151010674316,2706.631846889238,2637.633465316554,2240.950847394704,684.0227614909346,771.4470419294189,326.6888705110374,256.9670646620096,11656.73247216476,0.0,0.0,237.28207487176755,1043.0696562890723,1839.5997880960233,2346.081324954477,2316.1508157221356,2039.6439629312351,849.4174317225428,729.5901709485594,212.635584802735,43.26166182621542,bad
rsl-003905_bad_irr,rsl-003905,-11.516999709626475,-6.703390925321967,4838.0814825495,0.0,26.26638838203157,305.8956005713921,1018.770499062893,1987.0962285266312,664.2915534129298,27.660870298854036,54.28958635644466,186.8862591281348,351.72705309896054,215.15591940385602,0.041524307371162174,15141.640890878038,15.787224838096805,218.62008557529035,800.5853541021821,1445.1516305720088,2235.88769668523,2675.9539945034617,2816.7793064079165,1656.354715435471,1521.2571759837622,1259.0292208867556,409.2275032418374,87.00698264602347,12722.244411024301,0.4881046239818522,0.8615452565525157,278.25835018260204,983.9646341170823,1764.0452402212495,2315.4906932473045,2729.1004687067466,1783.3141889814117,1556.1902920422024,1061.5584836777616,246.84027745917396,2.1321325082329796,16392.545729350604,7.030010716627797,207.81976895099342,814.0428265457746,1470.13407247533,2267.935054496825,2714.6212084460626,3059.5023612455134,2157.556765523539,1799.765787665295,1358.5945796250899,432.98402632482635,102.55926733472859,13532.366708385509,0.0,0.0,231.05360835500562,1034.2587577980314,1828.0348988110452,2366.8088119118947,2804.1496588171744,2050.8694050366576,1829.0756414397808,1127.5854078687262,258.0325452421134,2.4979731050808875,16826.250398602435,8.181504095801126,212.12411420748685,817.3540794023085,1478.0124741657357,2281.4013526673075,2732.3256895797567,3077.2800286577126,2273.874048429469,1987.155823075014,1405.817663456556,443.2220959548103,109.50152491047722,13729.382850121368,0.0,0.0,234.85604435286098,1039.5865165909836,1837.9692179811664,2381.6386317077718,2820.542299786237,2080.5891774279794,1917.4381881406873,1151.3814803799175,262.80869795479845,2.5725957989654376,17040.322587906503,8.517911809416676,213.38120365624346,818.7366658120872,1481.1900240698208,2286.6176254349316,2739.1151124027033,3083.899313120386,2302.863232996567,2111.193036756133,1432.9829935272867,448.3774981169813,113.44797020394788,13829.825782454336,0.0,0.0,237.28207487176755,1043.0696562890723,1844.457931403341,2391.2218465218853,2831.0549176689833,2090.0755314901457,1960.7359374156842,1163.7528178240354,265.55423012314674,2.6208388462744163,bad
rsl-004763_bad_irr,rsl-004763,-12.227696910272108,-6.334906879919977,3740.878366068043,0.0,26.26638838203157,305.8956005713921,884.8671337219762,702.9264600501565,358.6988499891095,290.830153098259,193.8103736995907,277.9726557997632,433.00139429924883,266.6093564565151,0.0,15874.567015375,15.787224838096805,218.62477778329273,800.3947010680569,1443.8637681080163,2221.4998657154088,2671.6585161360063,2579.8606587117324,2014.3823321190146,1995.5263792671446,1404.9297076938176,477.91074158160956,30.12834235280357,13119.277098572851,0.4881046239818522,0.8615452565525157,280.8765166512489,1014.0264679424528,1821.6973236838778,2310.3598456363343,2494.5153513088258,1933.7543646141605,1804.898586118877,1153.110258412813,300.7893073458734,3.8994269778539525,16713.012095083213,7.030010716627797,207.81976895099342,813.7075826939885,1468.165860029433,2299.7430717782827,2715.5114121159813,2890.2889396774826,2258.7410056352414,2090.9269891255726,1439.5370590618902,488.79125757530574,32.74913772241501,13550.783764958593,0.0,0.0,233.31177005694087,1063.9949141993873,1904.8082464163356,2365.1324790007725,2616.960552697034,2064.5720245356906,1836.8221282937218,1159.5824757642629,301.67140564765253,3.9277683467973667,16861.99722727557,8.181504095801126,212.12411420748685,817.0225831546455,1475.9873704600166,2313.4391701509685,2733.3317646025002,2908.0313257031157,2304.5656655298503,2114.4436256685462,1449.143106789379,492.2311257352648,33.49587117799562,13641.20298186065,0.0,0.0,237.1239667170515,1069.448181664492,1915.173633000215,2379.9902431620612,2633.080328186117,2080.646348199373,1849.872613983918,1167.6238323282075,304.23417816378105,4.009656455434466,16903.328819812814,8.517911809416676,213.38120365624346,818.413390754688,1479.1647202330712,2318.7984109845843,2740.20219077006,2914.8231967470915,2311.662911982103,2119.072053225957,1452.2111378378456,493.3583369567603,33.72335485499662,13697.362451723266,0.0,0.0,239.5611086871377,1073.0087608274662,1921.9750991722015,2389.64951081837,2643.5564410581383,2089.1904796294907,1857.7027172228773,1172.7614787423297,305.8807737196775,4.076081845578773,bad
rsl-004919_bad_irr,rsl-004919,-14.219757662176205,-6.99790891255985,6183.651024116625,0.0,31.342881652888547,279.2817062666716,853.866359368819,1600.8852979018964,1851.4356099414915,687.6565475946851,265.9928303258353,14.072733537151088,279.0098479902376,320.10720953694903,0.0,13060.079140448586,15.306512671064693,200.00185072721274,798.7913058765847,1442.1195384572209,2236.7686208098053,2627.771215859084,2810.143147176894,1431.2136297339027,579.745040561542,645.1527457722328,271.71239003784376,1.3531427651981172,10975.26655453021,0.4881046239818522,0.3904685003925365,270.5171064574697,1008.7712331427529,1767.8677802132477,2267.8435979749006,2579.9750957316082,1541.8433766855367,734.7076539394888,622.7739812550526,180.08815600577654,0.0,14612.888238025218,6.967941308413174,188.4002673401185,813.0690096413,1467.6016263153936,2269.6638573520463,2688.640472984143,2886.750856824942,2106.662084609883,985.07402967293,859.3573883979394,337.0269535953593,3.6737499827525277,12340.09926785174,0.0,0.0,223.0515226099233,1058.7273277590548,1831.9433342125274,2325.6694319756225,2616.823697702704,2012.1200446347677,1207.9478190728962,835.5455530759388,228.2705368083025,0.0,15395.968778581146,8.153720627500787,192.60511703295958,816.4763662508682,1475.4750699144015,2283.091632086322,2705.730575978527,2905.466979823907,2264.7669636509295,1356.8655302553987,1008.8891638718337,372.69771077921047,5.749948309288641,12943.139889040229,0.0,0.0,226.87630819588858,1064.1545375804342,1841.8879032808698,2339.914713383741,2632.8723925005247,2081.244000331437,1532.121078136414,970.2714540846922,253.6437312563622,0.1537702898653682,16050.853009076394,8.486989848815503,193.83985120877287,817.8867552226093,1478.637298247885,2288.2976313912527,2712.2478898114223,2912.195303480181,2312.7061897298204,1740.6725889862016,1173.394384267692,404.2097477596473,8.278379122092828,13374.952846494009,0.0,0.0,229.2916050481709,1067.7262043736011,1848.3664565374347,2349.181627789208,2643.268697844466,2098.7941764286065,1775.9874998227926,1091.578110359255,270.5717068445777,0.18676144589757868,bad
rsl-005317_bad_irr,rsl-005317,-14.497628325847048,-8.053930826614334,6112.086279038544,0.0,26.26638838203157,305.8956005713921,884.8671337219762,2329.3092274376813,1086.8896794704874,1388.5792647164515,58.41794471717562,0.0,9.160648967727065,22.70039105362034,0.0,10929.082595797716,15.787224838096805,218.62073149982348,800.3142675323285,1434.1311071306343,2194.380132486067,2555.8769645285706,2879.1869466774046,805.3946376770677,17.455716282799184,2.573168576733307,1.49668840124923,3.8650101669428145,8821.16878607024,0.4881046239818522,0.8615452565525157,280.78701294555754,1002.8709029053749,1735.449090649732,2261.085094815218,2655.601562754466,828.4956091647955,27.26857321200319,21.833263366589012,6.324219050029909,0.10380732594325338,12184.945014230221,7.030010716627797,207.81976895099342,813.7075826939885,1458.2260857659376,2224.7452391177226,2702.748395878037,2942.61350338943,1641.1334105508433,118.12832723911497,51.14824251578005,16.568944761254517,1.0755026504907175,10017.215604520787,0.0,0.0,233.31177005694087,1052.1965857284224,1794.9209812993347,2354.1246726818476,2655.5595905600935,1621.3844399362042,167.6325309890258,110.90627097716849,27.17876229175069,0.0,12839.30800103115,8.181504095801126,212.12411420748685,817.0225831546455,1465.9678109844408,2237.8299471083587,2720.4305048955853,2958.072999342237,2019.0919717128515,265.1658245091083,98.71686177661415,34.98119618806226,1.7226830559582298,10678.907528420443,0.0,0.0,237.1239667170515,1057.586968871018,1804.7415224385077,2368.6940670108233,2669.8578574889216,1963.363581061313,345.22604597424515,188.19607014429494,44.11744871426902,0.0,13484.673896292508,8.517911809416676,213.38120365624346,818.413390754688,1469.1056731635874,2242.897828124312,2727.1391626918544,2963.8138028724657,2306.669971701141,508.018454993243,172.76532281657896,51.92859492675577,2.0225787822209327,11368.581939619087,0.0,0.0,239.5611086871377,1061.1061919106758,1811.133755438054,2378.211008861285,2679.0542740890664,2192.9296653744127,649.2684611979871,291.82326092638624,65.49421313408209,0.0,bad
rsl-005318_bad_irr,rsl-005318,-11.974749580566709,-8.053930826614334,6112.086279038544,0.0,26.26638838203157,305.8956005713921,884.8671337219762,2329.3092274376813,1086.8896794704874,1388.5792647164515,58.41794471717562,0.0,9.160648967727065,22.70039105362034,0.0,10945.32727281542,15.787224838096805,218.62073149982348,800.3123367469526,1433.990014763991,2194.310125412855,2666.7244292433243,2822.4368301850604,740.3931430738884,26.403158464044296,16.833239391126565,5.863740852757679,3.6522983435006124,8852.697732877585,0.4881046239818522,0.8615452565525157,280.7848553151322,1002.7947151225279,1735.3571383037745,2301.857373601901,2629.806961937506,788.2756865453688,43.25478045521525,56.289076638437905,12.927495077187224,0.0,12067.297279949413,7.030010716627797,207.81976895099342,813.7075826939885,1458.2260857659376,2224.7452391177226,2702.8506223297313,2941.0258027900672,1492.2660315821502,129.1437677340068,67.73596143271597,20.98736090818451,1.7590459272863992,10018.405783895229,0.0,0.0,233.31177005694087,1052.1965857284224,1794.9209812993347,2354.0317560718345,2655.645928818683,1547.3503409003588,207.5746421182702,143.59146367817291,29.782315223212006,0.0,12742.594355693729,8.181504095801126,212.12411420748685,817.0225831546455,1465.9678109844408,2237.8299471083587,2720.4305048955853,2958.077914309299,1876.2872469932493,288.0404689612844,123.839299120402,32.80469362601141,1.9882682371663123,10693.604462588291,0.0,0.0,237.1239667170515,1057.586968871018,1804.7415224385077,2368.6940670108233,2669.8578574889216,1896.2102921407768,402.9158767986091,210.05653362852559,46.41737749405892,0.0,13398.465583348549,8.517911809416676,213.38120365624346,818.413390754688,1469.1056731635874,2242.897828124312,2727.1391626918544,2963.8138028724657,2189.7142862279397,526.2205963247842,188.47643333009364,48.1083442217711,2.6769501713917783,11357.357761965633,0.0,0.0,239.5611086871377,1061.1061919106758,1811.133755438054,2378.211008861285,2679.0542740890664,2139.7985289829826,682.4107996226187,301.14309437642635,64.93899999738676,0.0,bad
