date,precip_class,temp_class,rest,year,month,rest_per
2024-07-01,A,C,0,2024,7,0.5
2024-08-01,A,A,0,2024,8,0.0
2024-09-01,A,A,1e-08,2024,9,0.5
2024-10-01,A,A,1e-08,2024,10,0.5
2024-11-01,A,A,1e-08,2024,11,0.5
2024-12-01,A,A,0.0034688812917456,2024,12,0.5
2025-01-01,A,A,0.101122924178365,2025,1,0.5
2025-02-01,A,A,0.2104283086999354,2025,2,0.5
2025-03-01,A,A,0.2832260265029399,2025,3,0.5
2025-04-01,A,A,0.1022306606673366,2025,4,0.5
2025-05-01,A,A,0,2025,5,0.0
2025-06-01,A,C,0,2025,6,0.5
2025-07-01,A,C,0,2025,7,0.5
2025-08-01,A,A,0,2025,8,0.0
2025-09-01,A,A,1e-08,2025,9,0.5
2025-10-01,A,A,1e-08,2025,10,0.5
2025-11-01,A,A,1e-08,2025,11,0.5
2025-12-01,A,A,0.0034688812917456,2025,12,0.5
2026-01-01,A,A,0.101122924178365,2026,1,0.5
2026-02-01,A,A,0.2104283086999354,2026,2,0.5
2026-03-01,A,A,0.2832260265029399,2026,3,0.5
2026-04-01,A,A,0.1022306606673366,2026,4,0.5
2026-05-01,A,A,0,2026,5,0.0
2026-06-01,A,C,0,2026,6,0.5
2026-07-01,A,C,0,2026,7,0.5
2026-08-01,A,A,0,2026,8,0.0
2026-09-01,A,A,1e-08,2026,9,0.5
2026-10-01,A,A,1e-08,2026,10,0.5
2026-11-01,A,A,1e-08,2026,11,0.5
2026-12-01,A,A,0.0034688812917456,2026,12,0.5
2027-01-01,A,A,0.101122924178365,2027,1,0.5
2027-02-01,A,A,0.2104283086999354,2027,2,0.5
2027-03-01,A,A,0.2832260265029399,2027,3,0.5
2027-04-01,A,A,0.1022306606673366,2027,4,0.5
2027-05-01,A,A,0,2027,5,0.0
2027-06-01,A,C,0,2027,6,0.5
