date,precip_class,temp_class,rest,year,month,rest_per
2024-07-01,A,C,0,2024,7,0.5
2024-08-01,A,A,0,2024,8,0.0
2024-09-01,A,A,1e-08,2024,9,0.5
2024-10-01,A,A,1e-08,2024,10,0.5
2024-11-01,A,A,1e-08,2024,11,0.5
2024-12-01,A,A,0.0034688812917456,2024,12,0.5
2025-01-01,A,A,0.101122924178365,2025,1,0.5
2025-02-01,A,A,0.2104283086999354,2025,2,0.5
2025-03-01,A,A,0.2832260265029399,2025,3,0.5
2025-04-01,A,A,0.1022306606673366,2025,4,0.5
2025-05-01,A,A,0,2025,5,0.0
2025-06-01,A,C,0,2025,6,0.5
2025-07-01,A,C,0,2025,7,0.5
2025-08-01,A,A,0,2025,8,0.0
2025-09-01,A,A,1e-08,2025,9,0.5
2025-10-01,A,A,1e-08,2025,10,0.5
2025-11-01,A,A,1e-08,2025,11,0.5
2025-12-01,A,A,0.0034688812917456,2025,12,0.5
2026-01-01,A,A,0.101122924178365,2026,1,0.5
2026-02-01,A,A,0.2104283086999354,2026,2,0.5
2026-03-01,A,A,0.2832260265029399,2026,3,0.5
2026-04-01,A,A,0.1022306606673366,2026,4,0.5
2026-05-01,A,A,0,2026,5,0.0
2026-06-01,A,C,0,2026,6,0.5
2026-07-01,A,C,0,2026,7,0.5
2026-08-01,A,A,0,2026,8,0.0
2026-09-01,A,A,1e-08,2026,9,0.5
2026-10-01,A,A,1e-08,2026,10,0.5
2026-11-01,A,A,1e-08,2026,11,0.5
2026-12-01,A,A,0.0034688812917456,2026,12,0.5
2027-01-01,A,A,0.101122924178365,2027,1,0.5
2027-02-01,A,A,0.2104283086999354,2027,2,0.5
2027-03-01,A,A,0.2832260265029399,2027,3,0.5
2027-04-01,A,A,0.1022306606673366,2027,4,0.5
2027-05-01,A,A,0,2027,5,0.0
2027-06-01,A,C,0,2027,6,0.5
2027-07-01,A,C,0,2027,7,0.5
2027-08-01,A,A,0,2027,8,0.0
2027-09-01,A,A,1e-08,2027,9,0.5
2027-10-01,A,A,1e-08,2027,10,0.5
2027-11-01,A,A,1e-08,2027,11,0.5
2027-12-01,A,A,0.0034688812917456,2027,12,0.5
2028-01-01,A,A,0.101122924178365,2028,1,0.5
2028-02-01,A,A,0.2104283086999354,2028,2,0.5
2028-03-01,A,A,0.2832260265029399,2028,3,0.5
2028-04-01,A,A,0.1022306606673366,2028,4,0.5
2028-05-01,A,A,0,2028,5,0.0
2028-06-01,A,C,0,2028,6,0.5
2028-07-01,A,C,0,2028,7,0.5
2028-08-01,A,A,0,2028,8,0.0
2028-09-01,A,A,1e-08,2028,9,0.5
2028-10-01,A,A,1e-08,2028,10,0.5
2028-11-01,A,A,1e-08,2028,11,0.5
2028-12-01,A,A,0.0034688812917456,2028,12,0.5
2029-01-01,A,A,0.101122924178365,2029,1,0.5
2029-02-01,A,A,0.2104283086999354,2029,2,0.5
2029-03-01,A,A,0.2832260265029399,2029,3,0.5
2029-04-01,A,A,0.1022306606673366,2029,4,0.5
2029-05-01,A,A,0,2029,5,0.0
2029-06-01,A,C,0,2029,6,0.5
2029-07-01,A,C,0,2029,7,0.5
2029-08-01,A,A,0,2029,8,0.0
2029-09-01,A,A,1e-08,2029,9,0.5
2029-10-01,A,A,1e-08,2029,10,0.5
2029-11-01,A,A,1e-08,2029,11,0.5
2029-12-01,A,A,0.0034688812917456,2029,12,0.5
2030-01-01,A,A,0.101122924178365,2030,1,0.5
2030-02-01,A,A,0.2104283086999354,2030,2,0.5
2030-03-01,A,A,0.2832260265029399,2030,3,0.5
2030-04-01,A,A,0.1022306606673366,2030,4,0.5
2030-05-01,A,A,0,2030,5,0.0
2030-06-01,A,C,0,2030,6,0.5
2030-07-01,A,C,0,2030,7,0.5
2030-08-01,A,A,0,2030,8,0.0
2030-09-01,A,A,1e-08,2030,9,0.5
2030-10-01,A,A,1e-08,2030,10,0.5
2030-11-01,A,A,1e-08,2030,11,0.5
2030-12-01,A,A,0.0034688812917456,2030,12,0.5
2031-01-01,A,A,0.101122924178365,2031,1,0.5
2031-02-01,A,A,0.2104283086999354,2031,2,0.5
2031-03-01,A,A,0.2832260265029399,2031,3,0.5
2031-04-01,A,A,0.1022306606673366,2031,4,0.5
2031-05-01,A,A,0,2031,5,0.0
2031-06-01,A,C,0,2031,6,0.5
2031-07-01,A,C,0,2031,7,0.5
2031-08-01,A,A,0,2031,8,0.0
2031-09-01,A,A,1e-08,2031,9,0.5
2031-10-01,A,A,1e-08,2031,10,0.5
2031-11-01,A,A,1e-08,2031,11,0.5
2031-12-01,A,A,0.0034688812917456,2031,12,0.5
2032-01-01,A,A,0.101122924178365,2032,1,0.5
2032-02-01,A,A,0.2104283086999354,2032,2,0.5
2032-03-01,A,A,0.2832260265029399,2032,3,0.5
2032-04-01,A,A,0.1022306606673366,2032,4,0.5
2032-05-01,A,A,0,2032,5,0.0
2032-06-01,A,C,0,2032,6,0.5
2032-07-01,A,C,0,2032,7,0.5
2032-08-01,A,A,0,2032,8,0.0
2032-09-01,A,A,1e-08,2032,9,0.5
2032-10-01,A,A,1e-08,2032,10,0.5
2032-11-01,A,A,1e-08,2032,11,0.5
2032-12-01,A,A,0.0034688812917456,2032,12,0.5
2033-01-01,A,A,0.101122924178365,2033,1,0.5
2033-02-01,A,A,0.2104283086999354,2033,2,0.5
2033-03-01,A,A,0.2832260265029399,2033,3,0.5
2033-04-01,A,A,0.1022306606673366,2033,4,0.5
2033-05-01,A,A,0,2033,5,0.0
2033-06-01,A,C,0,2033,6,0.5
2033-07-01,A,C,0,2033,7,0.5
2033-08-01,A,A,0,2033,8,0.0
2033-09-01,A,A,1e-08,2033,9,0.5
2033-10-01,A,A,1e-08,2033,10,0.5
2033-11-01,A,A,1e-08,2033,11,0.5
2033-12-01,A,A,0.0034688812917456,2033,12,0.5
2034-01-01,A,A,0.101122924178365,2034,1,0.5
2034-02-01,A,A,0.2104283086999354,2034,2,0.5
2034-03-01,A,A,0.2832260265029399,2034,3,0.5
2034-04-01,A,A,0.1022306606673366,2034,4,0.5
2034-05-01,A,A,0,2034,5,0.0
2034-06-01,A,C,0,2034,6,0.5
2034-07-01,A,C,0,2034,7,0.5
2034-08-01,A,A,0,2034,8,0.0
2034-09-01,A,A,1e-08,2034,9,0.5
2034-10-01,A,A,1e-08,2034,10,0.5
2034-11-01,A,A,1e-08,2034,11,0.5
2034-12-01,A,A,0.0034688812917456,2034,12,0.5
2035-01-01,A,A,0.101122924178365,2035,1,0.5
2035-02-01,A,A,0.2104283086999354,2035,2,0.5
2035-03-01,A,A,0.2832260265029399,2035,3,0.5
2035-04-01,A,A,0.1022306606673366,2035,4,0.5
2035-05-01,A,A,0,2035,5,0.0
2035-06-01,A,C,0,2035,6,0.5
2035-07-01,A,C,0,2035,7,0.5
2035-08-01,A,A,0,2035,8,0.0
2035-09-01,A,A,1e-08,2035,9,0.5
2035-10-01,A,A,1e-08,2035,10,0.5
2035-11-01,A,A,1e-08,2035,11,0.5
2035-12-01,A,A,0.0034688812917456,2035,12,0.5
2036-01-01,A,A,0.101122924178365,2036,1,0.5
2036-02-01,A,A,0.2104283086999354,2036,2,0.5
2036-03-01,A,A,0.2832260265029399,2036,3,0.5
2036-04-01,A,A,0.1022306606673366,2036,4,0.5
2036-05-01,A,A,0,2036,5,0.0
2036-06-01,A,C,0,2036,6,0.5
2036-07-01,A,C,0,2036,7,0.5
